"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot","P_sorb","PSI"
"Elev",1,0.188499367303342,-0.248975565336166,-0.126591509100843,-0.100087412454411,-0.196282315862935,0.19391597058208,-0.114335678929194,0.0894815936027397,0.215243460489496,0.345480329330891,0.029539737284113,0.259063230078009,-0.102496885947379,0.366637943402598,0.189666255922811,-0.100052006099093,0.244905812631191,0.244905812631191
"SandPD",0.188499367303342,1,-0.610728858453471,-0.79064842772131,-0.256665487331654,-0.0492957824710631,-0.0195561941690069,-0.173161746389681,-0.175600437797352,-0.176494518145498,0.036068914156026,0.224644355919038,-0.103951421135064,0.158662695416676,-0.00729483657088167,-0.099797416976645,-0.0753799778991106,-0.213543518663287,-0.213543518663287
"ClayPD",-0.248975565336166,-0.610728858453471,1,0.0609655007911573,-0.146089645803754,-0.117138276085875,0.00527974671719332,0.126187426987919,0.176008479504896,-0.0676145268015937,0.0439595947523875,-0.326481061013487,0.0925892619265066,-0.225990895886408,-0.0598987549743848,0.0633505476339256,0.122944732667763,0.0566217980856851,0.0566217980856851
"SiltPD",-0.126591509100843,-0.79064842772131,0.0609655007911573,1,0.378845873010117,0.0738009622503036,0.01262166721389,0.196420556413611,0.127078392390451,0.270958245311402,-0.0885961490468258,-0.0815342988225799,0.108058918631483,-0.0180436093024428,0.034668058322671,0.113735559760342,0.0873797259477847,0.145594826096809,0.145594826096809
"SMC",-0.100087412454411,-0.256665487331654,-0.146089645803754,0.378845873010117,1,0.301533372760159,0.0386484887126212,0.0892973690912202,-0.0241849438569777,0.254860123281176,-0.171408250355619,0.0564623502235824,-0.0327169274537696,0.0514461830251304,0.128496917970602,0.152678994784258,-0.0467045993361783,0.0724770243293872,0.0724770243293872
"LOI",-0.196282315862935,-0.0492957824710631,-0.117138276085875,0.0738009622503036,0.301533372760159,1,0.0525286062463474,-0.0682006898563104,-0.0835358986468436,0.372873323816957,0.115359537066423,0.48998038597696,0.23214180223644,0.63560378028067,0.432509343492611,0.0906989166041248,-0.0750489074645895,0.273665870339721,0.273665870339721
"WEP_2024",0.19391597058208,-0.0195561941690069,0.00527974671719332,0.01262166721389,0.0386484887126212,0.0525286062463474,1,0.542161340059386,0.276036779883655,0.536729526707692,0.469180975889734,-0.0977301425510576,0.19598461480377,0.0948494234402162,0.526034339494849,0.0148231542072741,-0.173280796334401,0.106581601655952,0.106581601655952
"WEP_2025",-0.114335678929194,-0.173161746389681,0.126187426987919,0.196420556413611,0.0892973690912202,-0.0682006898563104,0.542161340059386,1,0.31472010626435,0.375263943667168,0.2362877244696,-0.293882699901654,0.230657357722906,-0.0829540700679611,0.186928175990247,-0.0756345932972587,-0.00347205949379475,-0.339527040482484,-0.339527040482484
"M3P",0.0894815936027397,-0.175600437797352,0.176008479504896,0.127078392390451,-0.0241849438569777,-0.0835358986468436,0.276036779883655,0.31472010626435,1,0.508302844905135,0.276949058353628,0.118957549857846,0.455389813431068,-0.158270007263744,0.27178909961059,0.094661788576833,0.0226100010376777,0.0458319651487081,0.0458319651487081
"TP",0.215243460489496,-0.176494518145498,-0.0676145268015937,0.270958245311402,0.254860123281176,0.372873323816957,0.536729526707692,0.375263943667168,0.508302844905135,1,0.451031894934334,0.368056064608812,0.594746716697936,0.310131332082552,0.575046904315197,0.0166979362101313,-0.224202626641651,0.360054411953865,0.360054411953865
