"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot","P_sorb","PSI"
"Elev",1,0.400463596554644,-0.202669369919244,-0.413296101807844,-0.437488357699458,-0.609014590438949,0.0765080332055226,-0.113636498532252,-0.182588814590805,-0.251155922179757,0.208782990523663,-0.00963206423820911,0.111710456184248,-0.186826107756414,0.0832050294337844,0.0797381532073767,0.166410058867569,-0.265844972974571,-0.265844972974571
"SandPD",0.400463596554644,1,-0.576655743710472,-0.924753501856272,-0.546087077058982,-0.00539812761510707,0.0528550366108343,0.0485831485359637,-0.102950005230971,-0.149990831591189,-0.0327743462345787,-0.279599668691922,0.0574515010464967,-0.291498891215782,-0.2182385878679,-0.254868739541841,-0.111432777197567,0.0482068394296417,0.0482068394296417
"ClayPD",-0.202669369919244,-0.576655743710472,1,0.308664141007439,0.0598691217556126,-0.0274186459500335,0.26333234966765,0.140568832757918,0.256422266349609,0.00888209657536297,0.28345473418767,0.111433816945124,-0.0220121523824213,0.130142023734666,0.230934510959437,0.0633332103634577,0.0969307061050481,0.23947648702245,0.23947648702245
"SiltPD",-0.413296101807844,-0.924753501856272,0.308664141007439,1,0.536386746496861,-0.00116078698112371,-0.110144862163589,-0.178374266099344,0.0143163727671925,0.169087970250354,-0.065004070942928,0.225042491405429,-0.112983266162708,0.321151064777561,0.139294437734846,0.241443692073733,0.109113976225629,-0.0565024999917328,-0.0565024999917328
"SMC",-0.437488357699458,-0.546087077058982,0.0598691217556126,0.536386746496861,1,0.314675905032337,-0.279830659682455,0.101942683170623,0.211963843120804,0.341988850334654,-0.0250048090795867,0.395536744901885,0.133487211547947,0.48355453866216,0.221965766752639,0.301211777066405,0.316599351884613,-0.304155444401693,-0.304155444401693
"LOI",-0.609014590438949,-0.00539812761510707,-0.0274186459500335,-0.00116078698112371,0.314675905032337,1,-0.0334808599173656,0.333076923076923,0.133846153846154,0.310769230769231,0.117692307692308,0.114252743025188,0.431538461538462,0.343076923076923,0.162307692307692,-0.119230769230769,-0.163846153846154,0.230428932902652,0.230428932902652
"WEP_2024",0.0765080332055226,0.0528550366108343,0.26333234966765,-0.110144862163589,-0.279830659682455,-0.0334808599173656,1,0.508755135755831,0.495670661765136,0.262843992224835,0.534539246266905,-0.259622805991493,0.0892822931129748,-0.164325599824311,0.335963111584599,-0.0500288711408911,0.0057725620547182,0.22517322684214,0.22517322684214
"WEP_2025",-0.113636498532252,0.0485831485359637,0.140568832757918,-0.178374266099344,0.101942683170623,0.333076923076923,0.508755135755831,1,0.437692307692308,0.613846153846154,0.204615384615385,0.197345647043507,0.367692307692308,-0.106153846153846,0.141538461538462,-0.263846153846154,-0.03,-0.0673206398296564,-0.0673206398296564
"M3P",-0.182588814590805,-0.102950005230971,0.256422266349609,0.0143163727671925,0.211963843120804,0.133846153846154,0.495670661765136,0.437692307692308,1,0.684615384615385,0.212307692307692,0.168493944259369,0.284615384615385,0.0746153846153846,0.185384615384615,0.0130769230769231,0.106923076923077,0.0423158307500697,0.0423158307500697
"TP",-0.251155922179757,-0.149990831591189,0.00888209657536297,0.169087970250354,0.341988850334654,0.310769230769231,0.262843992224835,0.613846153846154,0.684615384615385,1,0.00923076923076923,0.425081754352973,0.521538461538462,0.0646153846153846,0.143846153846154,-0.151538461538462,0.04,-0.108097713097905,-0.108097713097905
