"","Elev","SandPD","ClayPD","SiltPD","SMC","LOI","WEP_2024","WEP_2025","M3P","TP","Al_tot","As_tot","Fe_tot","Ca_tot","Mg_tot","Na_tot","Si_tot","P_sorb","PSI"
"Elev",1,0.454343263075515,-0.501547870503841,-0.264600666802608,0.0118445556431125,0.156285176060086,0.0685777837930135,-0.309650317450976,-0.36130345631822,0.0767428501043332,0.0631631832755311,-0.255474610919213,-0.0350358282231462,0.0594622155054805,0.0431779573172576,0.00814313200463986,-0.218850560802329,0.22797961463512,0.22797961463512
"SandPD",0.454343263075515,1,-0.436510556227126,-0.828889116293341,-0.298667980861444,0.241332942175405,0.00790709167284408,-0.0198912774894984,-0.470944295543311,-0.115963610908615,0.0737635091703805,-0.19136580697784,-0.153447835130357,0.126804159577176,-0.0409523161280373,-0.0658772002395751,-0.00296040839479788,-0.073023407071681,-0.073023407071681
"ClayPD",-0.501547870503841,-0.436510556227126,1,-0.0220134237550384,-0.178695929817788,-0.484371183409353,-0.288985582305171,-0.0386139193486995,0.124089085740235,-0.285345022094932,0.148524241862157,0.122800510747873,0.000741385566699619,-0.111207835004943,-0.0328680934570164,0.0451065106386532,0.152725426740121,-0.166811752507414,-0.166811752507414
"SiltPD",-0.264600666802608,-0.828889116293341,-0.0220134237550384,1,0.483481394577649,-0.0882211264221944,0.0275308717505831,0.00407407519179033,0.454074799627969,0.167159809038065,-0.264267323807029,0.16328832923991,0.21915452506012,-0.194995758518059,-0.00566991459660603,0.122534550283066,0.0495501232138179,0.0108467931413333,0.0108467931413333
"SMC",0.0118445556431125,-0.298667980861444,-0.178695929817788,0.483481394577649,1,0.453019931404744,0.0498396795820006,0.0920306954657734,0.252679563331876,0.421286031042129,-0.035718684837997,0.455164723998568,0.474442668951601,0.0514841733182163,0.361867227772535,0.457748213845775,-0.00788274424010967,0.0440941005931135,0.0440941005931135
"LOI",0.156285176060086,0.241332942175405,-0.484371183409353,-0.0882211264221944,0.453019931404744,1,0.399827639961201,0.256067996110178,0.249661553320339,0.592363125371215,0.214861263835068,0.533846034950644,0.433184044003498,0.565710669337901,0.532331761837632,0.191643257008011,-0.486590296003929,0.42181049033674,0.42181049033674
"WEP_2024",0.0685777837930135,0.00790709167284408,-0.288985582305171,0.0275308717505831,0.0498396795820006,0.399827639961201,1,0.56548060291574,0.536829612237083,0.530348471591635,0.426298808850894,0.212518717768538,0.100160484023995,0.232145358292067,0.396941425602482,-0.111152354711343,-0.442827755721849,0.359442919268376,0.359442919268376
"WEP_2025",-0.309650317450976,-0.0198912774894984,-0.0386139193486995,0.00407407519179033,0.0920306954657734,0.256067996110178,0.56548060291574,1,0.565330563840568,0.245497431604409,0.371037852148001,0.254329734419159,0.0925127623374337,0.0513137455098299,0.336746454908259,0.138662870916259,-0.00518071469089629,-0.0651289846855533,-0.0651289846855533
"M3P",-0.36130345631822,-0.470944295543311,0.124089085740235,0.454074799627969,0.252679563331876,0.249661553320339,0.536829612237083,0.565330563840568,1,0.452137492651382,0.350332604866972,0.437926118431818,0.479428445197699,0.238482392061342,0.450357244512535,0.134286067299729,-0.15447154940337,0.282089193089088,0.282089193089088
"TP",0.0767428501043332,-0.115963610908615,-0.285345022094932,0.167159809038065,0.421286031042129,0.592363125371215,0.530348471591635,0.245497431604409,0.452137492651382,1,0.292646879914072,0.616603067083,0.556226140442739,0.596625204673301,0.46212588107643,-0.0378171963537817,-0.610420007093493,0.658701815564165,0.658701815564165
