Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 12 20-30,LF 12,36.11762,-94.56076,12c,30,cm,3,278.4,,7.7,18.6,73.7,,26.05,2.64,2.7,2.61,,,8.95,247.3,,5565.18,4.79,110.93,3064.88,,8.1,14.14,9.3,14644.98,829.52,8.52,525.48,851.1,25.93,12.58,34.07,200.26,,31.84,50
LF 13 20-30,LF 13,36.11658,-94.56086,13c,30,cm,3,279.1,,5.2,21.1,73.7,,25.25,2.05,2.04,1.94,,,10.18,182.93,,5091,,104.72,2760.54,,8.93,14.13,9.26,15120.82,750.47,6.66,480.74,1010.63,22.2,12.27,35.87,169.12,,36.62,53.41
LF 14 20-30,LF 14,36.11683,-94.56131,14c,30,cm,3,279.0,,7.7,21.1,71.2,,26.73,1.94,2.98,2.78,,14.82,17.35,238.31,0.17,4855.64,3.44,86.92,2139.99,1.91,7.05,12.34,8.41,11344.75,573.42,6.27,393.69,519.01,22.52,10.88,23.51,127.54,,40.42,38.21
LF 15 20-30,LF 15,36.11598,-94.56183,15c,30,cm,3,279.1,,11.1,15.2,73.7,6.37,26.33,1.77,3.31,2.01,,9.91,11.08,223.52,0.12,5058.65,3.44,85.92,1959.9,1.8,7.17,12.95,7.83,9677.87,537.62,7.17,403.54,484.38,20.43,12.41,14.1,92.56,,21.5,35.64
LF 16 20-30,LF 16,36.11582,-94.56119,16c,30,cm,3,279.4,,25.0,13.7,61.2,,28.9,1.93,2.07,2.32,,,8.74,207.3,,5082.44,4.75,107.53,2627.12,,8.25,13.75,8.98,14457.8,759.79,6.95,492.46,914.82,21.05,12.02,34.26,151.86,,30.43,48.01
LF 17 20-30,LF 17,36.11505,-94.56161,17c,30,cm,3,279.4,,7.4,21.4,71.2,6.45,26.48,2.02,4.34,3.24,,19.91,10.6,189.2,0.19,8107.48,4.66,117.01,2659.71,2.41,9.3,18.82,9.97,12610.45,1050.33,14.25,657.04,916.65,29.58,17.58,15.86,128.69,,25.72,51.86
LF 18 20-30,LF 18,36.11498,-94.56238,18c,30,cm,3,279.0,,2.3,23.9,73.7,6.41,28.73,1.8,2.84,1.32,,8.07,11.34,167.5,0.17,7176.84,4.27,96.47,2463.51,2.09,8.2,16.94,8.84,11445.97,783.96,12,534.58,399.38,27.95,14.84,15.8,98.34,,38.91,39.51
LF 19 20-30,LF 19,36.111367,-94.56025,19c,30,cm,2,279.1,,18.6,20.2,61.2,6.93,20.38,1.85,3.26,1.93,,4.76,10.91,140.25,0.19,8976.03,4.4,103.51,3439.52,2.15,8.45,18.99,9.41,12204.22,939.24,14.41,585.27,766.3,41.96,16.41,13.24,180.51,,35.37,50.49
LF 20 20-30,LF 20,36.111106,-94.559581,20c,30,cm,4,281.3,,19.8,20.2,60.0,6.93,21.69,1.73,3.65,2.37,,5.93,9.75,169.58,0.18,7011.9,3.98,99.18,3271.86,2.02,8.28,14.98,8.9,12659.06,723.21,9.87,504.06,781.44,26.53,14.93,13.65,179.63,,37.03,44.09
LF 21 20-30,LF 21,36.112017,-94.558167,21c,30,cm,4,281.2,,27.5,17.5,55.0,6.11,17.87,1.83,4.35,2.55,,9.18,12.67,208.8,0.21,11478.23,3.92,122.43,2673.3,2.39,9.57,20.83,10.43,14887.13,1235.26,17.17,759.7,888.58,35.84,17.36,17.65,177.96,,43.52,59.64
LF 22 20-30,LF 22,36.10825,-94.560183,22c,30,cm,1,280.1,,28.6,17.7,53.7,,24.59,1.16,3.13,3.16,,10.89,10.66,195.01,0.14,5768.13,3.5,75.79,1915.46,1.64,6.72,13.83,6.51,10284.2,594.52,7.77,396.37,468.08,22.21,11.79,12.17,82.55,,47.74,35.85
LF 23 20-30,LF 23,36.1097,-94.560283,23c,30,cm,2,279.6,,11.1,17.7,71.2,,28.75,2.24,2.34,2.16,,7.74,8.9,172.32,0.2,9495.21,4.74,104.99,3969.01,2.14,8.51,17.95,9.32,14174.3,962.72,14.24,636.35,815.65,36.63,16.58,13.5,196.58,,73.13,48.86
LF 24 20-30,LF 24 ,36.110633,-94.5608,24c,30,cm,2,279.4,,11.1,17.7,71.2,,27.38,2.35,2.17,1.64,,,9.64,175.43,,4002.29,0,89.82,3311.62,,6.94,11.37,7.64,11586.89,620.63,5.73,384.48,768.52,21.68,10.26,27.17,211.34,,27.06,41.43
LF 25 20-30,LF 25,36.111583,-94.56155,25c,30,cm,2,279.5,,8.6,17.7,73.7,,26.36,1.9,2.98,2.14,,6.25,12.46,227.26,0.2,7603.39,4.78,119.21,3280.72,2.36,8.86,15.44,9.93,14681.1,688.76,9.65,510.41,798.77,27.82,16.29,16.16,140.78,,35.1,47.91
LF 26 20-30,LF 26,36.111533,-94.5622,26c,30,cm,2,279.9,,32.3,13.9,53.7,,26.02,2.44,1.69,1.35,,,8.73,162.09,,4205.62,,94.21,3552.34,1.01,6.63,12.38,8.47,11124.81,677.07,6.19,421.5,679.55,19.01,10.93,27.21,673.99,,31.12,40.05
LF 27 20-30,LF 27,36.1106,-94.561383,27c,30,cm,2,279.8,,7.3,20.2,72.5,,26.53,1.52,2.36,2.26,,,9.69,204.95,,5309.11,4.89,103.33,2729.18,1.18,7.82,13.9,8.69,13949.47,711.55,7.8,478.52,769.78,25.81,12.25,32.27,153.11,,28.87,46.16
LF 28 20-30,LF 28,36.109744,-94.5611724,28c,30,cm,2,279.9,,15.0,15.0,70.0,,26.53,1.82,2.08,1.89,,,12.19,204.54,,5350.19,4.86,112.19,3162.5,1.3,8.63,14.24,9.46,15443.03,739.47,7.49,503.21,857.22,28.71,12.78,35.57,176.7,,23.58,48.11
LF 29 20-30,LF 29,36.108533,-94.5609,29c,30,cm,1,280.4,,12.3,22.7,65.0,,25.64,1.81,2.94,2.04,,12.34,12.72,224.69,0.16,9323.23,4.76,113.53,2982.8,2.34,9.01,18.4,10.28,14486.15,949.38,14.27,639.95,723.77,31.38,17.08,15.77,158.59,,62.97,53.07
LF 30 20-30,LF 30,36.116367,-94.556019,30c,30,cm,4,279.2,,9.9,18.9,71.1,,32.21,2.47,3.06,3.31,,9.81,13.36,1232.91,0.21,10268.36,5.73,129.99,3561.73,2.69,10.57,18.5,11.17,17464.03,1035.67,14.65,708.3,1012.46,32.11,18.74,16.98,209.86,,42.04,61.48
LF 31 20-30,LF 31,36.115859,-94.554721,31c,30,cm,4,279.6,,7.4,18.9,73.7,,29.82,1.84,4.43,2.98,,10.8,14.53,425.28,0.19,10439.09,4.7,117.8,3109.02,2.4,9.65,19.75,10.46,15594.74,1135.05,15.67,693.55,871.93,31.62,18.12,15.34,167.75,,46.45,55.51
LF 32 20-30,LF 32,36.114996,-94.554446,32c,30,cm,4,279.7,,6.2,18.9,74.9,,32.03,1.78,2.7,2.03,,5.58,10.76,195.94,0.22,6648.24,5.34,105.12,3389.85,2.25,8.83,16.29,10.28,11903.7,815.64,13.16,621.92,950.44,59.57,12.93,35.96,206.34,,56.69,54.26
LF 33 20-30,LF 33,36.114927,-94.556083,33c,30,cm,4,278.7,,0.0,22.7,77.3,,29.33,1.86,2.35,1.55,,2.5,9.48,179.02,0.17,6287.51,4.24,105.52,4476.5,2.23,8.63,15.36,10.59,12428.74,833.7,12.16,635.02,941.69,60.59,12.55,35.99,253.78,,51.9,51.79
LF 34 20-30,LF 34,36.11557,-94.557289,34c,30,cm,4,278.6,,16.2,13.6,70.2,,35.42,2.71,2.93,2.5,,6.9,17.13,285.27,0.2,5861.52,4.49,102.68,3470.33,2.24,8.75,14.98,10.55,12667.35,863.85,10.7,590.98,921.62,57.14,12.69,35.66,224.86,,62.26,56.11
LF 35 20-30,LF 35,36.114922,-94.558491,35c,30,cm,4,279.3,,0.0,21.1,78.9,,31.85,1.25,2.83,2.6,,18.03,26.32,333.57,0.18,5452.77,5,106.54,3553.42,2.13,8.74,14.36,10.39,12491.42,789.52,9.52,559.15,929.24,55.43,12.36,36.13,220.53,,61.91,48.12
LF 36 20-30,LF 36,36.113821,-94.556968,36c,30,cm,4,279.8,,4.9,16.1,79.0,,28.25,1.36,2.87,1.61,,8.15,3.28,164.07,0.17,6659.14,4.13,97.55,3180.06,2.09,8.05,16.95,9.12,11445.11,848.98,12.79,632.33,858.23,62.5,12.18,34.11,220.7,,62.38,51.33
LF 37 20-30,LF 37,36.112538,-94.557922,37c,30,cm,4,280.7,,3.6,22.3,74.1,,29.09,1.44,1.81,1.55,,6.19,0.96,234,0.16,4280.05,4.45,90.15,3284.51,1.86,7.4,12.07,9.25,10088.37,689.97,6.93,485.33,770.01,,10.5,30.09,221.42,,64.31,42.39
LF 38 20-30,LF 38,36.112956,-94.559435,38c,30,cm,4,280.6,,30.0,11.2,58.7,,22.45,1.02,1.6,0.85,32.09,6.47,1.84,99.9,0.17,5392.41,4.35,89.6,2437.9,2.06,7.75,15.52,8.76,11298.21,681.36,9.99,505.42,758.03,57.09,13.44,33.33,111.87,,44.69,47.6
LF 39 20-30,LF 39,36.11042,-94.5565,39c,30,cm,4,279.1,,27.3,13.6,59.1,,27.25,2.06,1.92,1.87,,,4.1,143.7,,3369.34,,75.45,2785.23,,6.41,10.61,6.51,9821.14,539.19,4.55,327.13,652.52,17.37,8.86,23.19,180.47,,27,33.28
LF 40 20-30,LF 40,36.113048,-94.554764,40c,30,cm,4,279.1,,9.8,13.6,76.6,,,,2.26,2.42,,,7.28,227.65,,4398.9,,106.87,3709.29,,8.2,12.36,9.16,13548.07,670.63,5.98,448.18,933.46,22,11.62,32.22,296.65,,21.46,47.93
LF 41 20-30,LF 41,36.111913,-94.555339,41c,30,cm,4,279.4,,14.9,14.8,70.3,,,,2.37,1.64,,,9.9,193.4,,4112.44,,105.93,3475.24,1.14,8.08,12,8.95,13010.73,640.46,5.59,418.18,936.06,23.1,11.6,30.37,282.52,,34.12,46.82
LF 42 20-30,LF 42,36.11077,-94.556261,42c,30,cm,4,279.6,,12.4,12.3,75.3,,,,2.42,3.07,,,8.21,238.39,,3876.14,,97.13,3189.13,1.23,7.68,11.77,8.64,12277.57,703.55,5.09,408.68,901.98,16.12,11.21,28.43,272.76,,23.63,49.3
LF 43 20-30,LF 43,36.115517,-94.559602,43d,30,cm,4,279.6,,23.6,11.1,65.3,,25.86,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 44 20-30,LF 44,36.11463,-94.560477,44d,30,cm,4,279.5,,14.8,11.1,74.1,,28.46,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 45 20-30,LF 45,36.114159,-94.561656,45d,30,cm,3,279.5,,6.1,18.6,75.3,,29.05,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF 46 20-30,LF 46,36.112329,-94.562195,46d,30,cm,2,279.7,,24.9,16.1,59.1,,28.46,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
