Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 1 A 0.5-1.0,LF 1 A,36.107767,-94.560067,1Ab,30,feet,1,279.7,,,,,,29.28,1.05,2.64,2.14,,,15.71,387.42,0.14,5061.9,3.26,80.22,2206.69,1.7,7.43,14.09,7.44,9529.04,503.55,6.24,427.61,538.79,23.66,12.64,14.47,101.14,,36.74,45.13
LF 1 B 0.5-1.0,LF 1 B,36.107767,-94.560033,1Bb,30,feet,1,279.8,,,,,,29.25,1.38,3.33,2.47,,,8.05,367.01,0.3,4717.49,2.57,83.87,2793.1,1.41,6.93,13.35,8.02,10662.13,630.8,6.89,453.44,613.95,24.83,10.97,23.25,135.29,,31.95,57
LF 1 C 0.5-1.0,LF 1 C,36.107783,-94.5602,1Cb,30,feet,1,279.6,,,,,,30.91,1.64,4.01,2.27,,,9.94,344.2,0.21,5819.93,4.89,92.98,3285.88,2.03,7.73,14.37,8.56,11175.84,607.16,7.61,510.61,763.21,26.37,12.72,19.38,181.62,,31.09,54.11
LF 1 D 0.5-1.0,LF 1 D,36.107783,-94.56,1Db,30,feet,1,279.8,,,,,,33.63,1.09,3.26,1.83,,,11.71,258.77,0.13,9679.93,2.26,82.05,1932.58,1.67,7.05,25.43,7.7,9905.29,1175.26,13.76,751.87,425.74,45.38,14.64,15.46,89.27,,52.4,47.12
LF 1 E 0.5-1.0,LF 1 E,36.1078,-94.560067,1Eb,30,feet,1,279.7,,,,,,31.62,1.99,3.82,2.59,,,10.43,348.59,0.25,7182.88,4.46,106.45,3355.38,2.52,8.92,17.74,10.13,13444.23,874.6,11.14,655.17,874.78,31.04,14.93,25.39,176.9,,31.05,69.1
LF 2 A 0.5-1.0,LF 2 A,36.10725,-94.560733,2Ab,30,feet,1,281.1,,,,,,31.38,2.13,1.53,0.85,,,1.71,170.55,0.18,8824.03,4.5,131.06,3530.78,2.35,10.55,19.91,9.78,13764.55,896.86,14.09,791.25,1018.07,32.72,18.95,20.73,209.13,,33.64,59.68
LF 2 B 0.5-1.0,LF 2 B,36.107167,-94.5607,2Bb,30,feet,1,281.1,,,,,,27.34,1.26,1.21,0.62,,,4.1,141.19,0.17,7551.83,4.99,119.2,2194.76,2.09,10.25,16.94,8.18,12748.32,739.67,10.43,633.17,993.28,23.18,16.54,17.48,124.14,,28.71,45.2
LF 2 C 0.5-1.0,LF 2 C,36.106933,-94.56055,2Cb,30,feet,1,281.1,,,,,,29.02,2.02,2.21,1.11,,,5.93,194.87,0.24,7434.71,4.86,120.74,3253.7,2.51,9.49,17.49,10.55,13823.91,791.08,12.65,639.02,905.24,31.28,15.38,27.54,190.84,,29.39,62.85
LF 2 D 0.5-1.0,LF 2 D ,36.106833,-94.560383,2Db,30,feet,1,281.1,,,,,,29.3,1.82,3.34,1.54,,,8.32,281.72,0.23,7034.41,5.77,123.87,2777.79,2.55,10.2,16.28,9.9,13430.87,804.65,10.45,601.9,933.79,22.22,16.69,20.09,182.95,,25.65,50.67
LF 11 20-30,LF 11,36.11752,-94.56006,11c,30,cm,3,278.8,,11.1,18.6,70.3,,28.11,2.15,2.83,2.63,,18.42,11.55,193.15,0.18,6010.25,4.45,99.23,2917.84,2.29,8.23,14.36,8.9,12535.11,784.07,9,500.98,845.69,25,13.54,22.2,162.87,,29.92,50.08
