Sample ID ,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 19 10-20,7.11,18.50848084,1.984353563,2.817558116,NM,5.549630025,2.618584425,,0.196838589,6183.379608,4.336712472,95.77177958,3518.759316,1.998060566,7.96852306,15.95778759,8.571771213,13343.87578,754.699892,11.12091822,504.9982821,742.4726937,32.71278686,15.04464957,12.87870633,198.3716095,BL,45.8188279,44.5637637
LF 20 10-20,6.72,22.66674165,1.148615463,4.136966225,NM,8.288342332,11.185003,,0.180833516,12163.41782,4.232682942,116.1842414,3224.119937,2.350422134,9.292092465,23.97962014,10.61355225,14822.48707,1298.568681,19.50189693,778.4205629,833.4915542,46.81747669,19.14333167,14.78895574,172.5631481,BL,42.88690669,56.69528778
LF 21 10-20,6.2,18.82780111,2.298152782,4.147787846,NM,5.65981134,14.37228647,,0.181307783,11478.83213,4.227932195,120.358408,2916.637863,2.326215009,9.04823979,22.0563242,10.54684417,13882.52371,1328.443673,17.65359271,786.9759865,844.4407392,39.26661679,17.30895295,16.1748237,228.8021569,BL,30.89360644,60.83873041
LF 22 10-20,NM,26.77693652,1.619374459,3.23935213,NM,8.799120088,18.0924246,,0.134963688,7344.132228,4.488131868,103.0171578,2733.439962,2.210145676,8.334238297,15.72649769,9.006494783,13643.06002,739.1060398,9.866183756,509.9055198,799.0844355,26.13202381,15.24802733,14.46745147,125.4086276,BL,42.73184006,49.71510926
LF 23 10-20,NM,27.47218503,1.994283696,2.309538092,NM,10.30828195,7.729275362,,0.206130326,6954.756601,4.504566024,93.82475296,3578.010207,1.931956485,7.875002992,14.53177575,8.047534075,11992.96368,722.6465453,9.904665252,508.7956074,749.6475567,30.01329699,13.89297787,12.19683448,177.7224755,BL,224.8429535,43.88421892
LF 24 10-20,NM,27.10418233,2.172520478,2.04904378,NM,4.789361418,8.526261078,,0.156489016,7164.287061,4.472085438,96.00868794,3576.824133,1.921932201,7.919991449,14.61967744,8.181698737,12502.18451,710.868856,9.904519257,491.332269,745.5744134,28.68608384,14.03315249,12.71257051,196.9187766,BL,31.98759026,41.85844378
LF 25 10-20,NM,25.31184618,1.906087377,2.638856496,NM,5.749233436,17.40229969,,0.214865381,8529.382819,5.021194432,124.9906432,3563.632729,2.474135834,9.186624832,16.61385962,10.71707849,15352.96021,769.6607364,11.25013361,563.0325463,889.5621924,30.16886609,17.22630812,16.23979665,177.0913898,BL,34.13031817,55.66759409
LF 26 10-20,NM,23.40788702,2.142074707,2.449020392,NM,8.74854191,9.695441823,,0.177193212,8461.788624,4.654757182,100.4212305,3494.405111,1.980637822,7.51278553,17.80125364,9.213323763,12427.49694,953.9152633,12.28863335,600.9370871,681.6380047,28.24356472,15.93860687,13.38144536,215.9163857,BL,65.57750282,44.02915518
LF 27 10-20,NM,27.06768373,1.679736949,2.339922003,NM,NM,144.6026187,,BL,5830.851912,4.705368643,112.9831118,3019.108869,1.323336082,8.216921104,14.97942306,9.432621683,15302.95483,772.6286325,8.663541449,530.7502192,874.2861222,27.88898412,13.39258097,34.93397344,171.5002026,BL,17.16294992,51.86512741
LF 28 10-20,NM,27.12706987,2.11550858,2.218742712,NM,10.0689931,10.70790921,,0.175660091,9807.873738,5.368605151,123.4356621,3502.586683,2.51047972,9.664979474,18.788587,10.9674771,15912.91235,973.8581154,15.15565869,664.297267,840.9239478,37.18768016,18.14973952,16.31138165,185.0350935,BL,70.77295052,55.58922296
