Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 11 20-30,LF 11,36.11752,-94.56006,11c,30,cm,3,278.84,,11.1,18.6,70.3,,28.1,2.15,2.83,2.63,,18.42,11.5,193,0.18,6010,4.45,99,2918,2.29,8.23,14.4,8.90,12535,784,9.00,501,846,25.0,13.5,22.2,163,<PQL,29.9,50.1,291,164
LF 12 20-30,LF 12,36.11762,-94.56076,12c,30,cm,3,278.41,,7.73,18.6,73.7,,26.1,2.64,2.70,2.61,,,8.95,247,,5565,4.79,111,3065,,8.10,14.1,9.30,14645,830,8.52,525,851,25.9,12.6,34.1,200,<PQL,31.8,50.0,286,161
LF 13 20-30,LF 13,36.11658,-94.56086,13c,30,cm,3,279.11,,5.21,21.1,73.7,,25.2,2.05,2.04,1.94,,,10.2,183,0.00,5091,0.00,105,2761,0.00,8.93,14.1,9.26,15121,750,6.66,481,1011,22.2,12.3,35.9,169,<PQL,36.6,53.4,196,108
LF 14 20-30,LF 14,36.11683,-94.56131,14c,30,cm,3,279.00,,7.67,21.1,71.2,,26.7,1.94,2.98,2.78,,14.82,17.3,238,0.17,4856,3.44,87,2140,1.91,7.05,12.3,8.41,11345,573,6.27,394,519,22.5,10.9,23.5,128,<PQL,40.4,38.2,244,136
LF 15 20-30,LF 15,36.11598,-94.56183,15c,30,cm,3,279.09,,11.08,15.2,73.7,6.37,26.3,1.77,3.31,2.01,,9.91,11.1,224,0.12,5059,3.44,86,1960,1.80,7.17,12.9,7.83,9678,538,7.17,404,484,20.4,12.4,14.1,93,<PQL,21.5,35.6,293,165
LF 16 20-30,LF 16,36.11582,-94.56119,16c,30,cm,3,279.36,,25.0,13.7,61.2,,28.9,1.93,2.07,2.32,,,8.74,207,,5082,4.75,108,2627,,8.25,13.8,8.98,14458,760,6.95,492,915,21.1,12.0,34.3,152,<PQL,30.4,48.0,258,144
LF 17 20-30,LF 17,36.11505,-94.56161,17c,30,cm,3,279.39,,7.40,21.4,71.2,6.45,26.5,2.02,4.34,3.24,,19.91,10.6,189,0.19,8107,4.66,117,2660,2.41,9.30,18.8,10.0,12610,1050,14.2,657,917,29.6,17.6,15.9,129,<PQL,25.7,51.9,255,142
LF 18 20-30,LF 18,36.11498,-94.56238,18c,30,cm,3,278.96,,2.34,23.9,73.7,6.41,28.7,1.80,2.84,1.32,,8.07,11.3,168,0.17,7177,4.27,96,2464,2.09,8.20,16.9,8.84,11446,784,12.0,535,399,28.0,14.8,15.8,98,<PQL,38.9,39.5,298,168
LF 19 20-30,LF 19,36.111367,-94.56025,19c,30,cm,2,279.13,,18.6,20.2,61.2,6.93,20.4,1.85,3.26,1.93,,4.76,10.9,140,0.19,8976,4.40,104,3440,2.15,8.45,19.0,9.41,12204,939,14.4,585,766,42.0,16.4,13.2,181,<PQL,35.4,50.5,308,173
LF 20 20-30,LF 20,36.111106,-94.559581,20c,30,cm,4,281.25,,19.8,20.2,60.0,6.93,21.7,1.73,3.65,2.37,,5.93,9.75,170,0.18,7012,3.98,99,3272,2.02,8.28,15.0,8.90,12659,723,9.87,504,781,26.5,14.9,13.6,180,<PQL,37.0,44.1,280,157
