Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 3 10-20,LF 3 ,36.10481,-94.55821,3b,20,cm,1,280.1,,5.11,17.6,77.2,,28.8,2.33,1.79,0.85,,,8.8,304,,5611,4.76,125,3050,,8.37,14.9,11.3,15066,720,7.96,516,968,26.8,12.8,38,265,<PQL,26.2,50,396,227
LF 4 10-20,LF 4,36.10513,-94.5582,4b,20,cm,1,280.36,,17.4,13.9,68.7,6.55,32.6,2.26,5.68,1.74,,12.7,20.6,375,0.19,6070,5.28,121,3493,2.68,9.67,15,11.4,14708,899,9.28,574,1059,23.3,15.8,26.5,226,<PQL,26.3,61.1,392,225
LF 5 10-20,LF 5,36.104883,-94.557583,5b,20,cm,1,280.93,,,,,,27.3,2.66,4.55,1.23,,6.39,10.5,370,0.22,8362,4.95,121,4251,2.55,9.57,18.4,11.6,13113,992,14.7,680,957,32.4,18,15.8,263,<PQL,34.8,59.9,348,198
LF 6 10-20,LF 6,36.105983,-94.558717,6b,20,cm,1,279.78,,12.3,13.9,73.7,,31.3,2.79,2.97,1.97,,9.53,8.77,304,0.18,7713,4.61,119,4014,2.39,9.54,17.2,10.8,12977,915,13.3,641,930,30.7,17.3,15.3,225,<PQL,28,53.6,340,193
LF 7 10-20,LF 7,36.106133,-94.55835,7b,20,cm,1,280.03,,25,11.2,63.7,,29.7,2.37,4.96,2.11,,16,13,425,0.23,9182,5.79,134,3536,2.94,10.4,19.8,12.5,14347,1015,15.9,725,1319,36,19.2,18,204,<PQL,29.6,70.5,345,196
LF 8 10-20,LF 8,36.10585,-94.559133,8b,20,cm,1,280.32,,12.3,18.6,69.1,6.32,29.3,2.27,3.42,2.23,,9.82,10.9,375,0.26,10652,5.68,136,3526,2.93,11.2,22.8,12.8,15406,1327,19.5,849,1156,40.7,21.2,18.7,220,<PQL,31.2,71.9,341,194
LF 9 10-20,LF 9,36.106433,-94.559783,9b,20,cm,1,280.1,,2.35,18.6,79.1,,34.4,1.65,7.28,3.01,,21.9,76.4,549,0.15,8060,3.86,90,2223,2.15,8.51,16.7,10,12299,796,11,564,586,25,12.9,16.5,126,<PQL,26.3,45.9,323,182
LF 10 10-20,LF 10,36.107017,-94.559417,10b,20,cm,1,279.61,,4.86,23.6,71.6,,29.7,2.17,2.18,1.61,,6.27,6.88,129,0.13,5185,4.19,98,2620,2.07,7.71,12.3,7.89,11818,647,6.81,444,443,27.9,11.2,22.5,95,<PQL,25.9,33.2,304,171
LF 11 10-20,LF 11,36.11752,-94.56006,11b,20,cm,3,278.84,,11.1,16.1,72.8,,31.1,2.53,2.7,1.83,,14.8,9.66,197,0.2,6906,5,108,3639,2.39,8.83,15.6,9.43,11876,898,11.7,576,902,28.2,15.8,13.9,211,<PQL,31.4,57.7,343,195
LF 12 10-20,LF 12,36.11762,-94.56076,12b,20,cm,3,278.41,,5.2,19.8,75,,31.6,2.74,2.34,2.58,,,15.3,252,,6383,0,124,3692,,8.94,16,10.6,16421,892,9.87,608,932,29,14.3,37.9,269,<PQL,29.2,55.3,113,62
