Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 13 10-20,LF 13,36.11658,-94.56086,13b,20,cm,3,279.11,,8.98,19.8,71.2,,25.5,2.5,2.67,2.22,,10.5,13.8,199,0.23,6667,5.57,113,3159,2.7,9.15,15.3,10,13981,860,9.85,544,1008,26.4,14.6,24.7,197,<PQL,50.3,60.4,64,35
LF 14 10-20,LF 14,36.11683,-94.56131,14b,20,cm,3,279,,5.21,19.8,75,,28.2,2.27,2.58,2.25,,12.8,10.7,198,0.19,6790,4.42,111,2928,2.49,8.62,15.2,9.83,13750,784,9.75,535,812,27.3,14.1,24.4,164,<PQL,150.6,49.3,282,158
LF 15 10-20,LF 15,36.11598,-94.56183,15b,20,cm,3,279.09,,7.32,17.7,75,6.19,27,1.95,3.55,2.19,,13.7,13.6,185,0.17,6130,4.31,109,2577,2.24,8.8,14.5,9.5,12210,660,8.68,499,810,23.2,15,15.8,128,<PQL,28.1,46.3,289,162
LF 16 10-20,LF 16,36.11582,-94.56119,16b,20,cm,3,279.36,,21.3,15,63.7,6.41,28.2,2.19,4.74,1.93,,10.8,9.32,208,0.21,6718,4.73,116,2883,2.46,9.62,15.7,10.3,13193,804,9.69,566,944,24.2,16.1,16.5,140,<PQL,29.6,51.4,180,99
LF 17 10-20,LF 17,36.11505,-94.56161,17b,20,cm,3,279.39,,6.08,21.4,72.5,6.35,27.2,2.08,5.37,3.05,,16.8,10.4,211,0.23,7824,4.43,114,2757,2.44,9.29,17.5,10.1,13048,994,13.2,635,951,27.3,17.1,15.7,141,<PQL,22.1,53.3,320,181
LF 18 10-20,LF 18,36.11498,-94.56238,18b,20,cm,3,278.96,,11.15,18.9,69.9,6.46,28,1.69,3.22,2.37,,7.66,11.3,190,0.15,7918,4.44,102,2383,2.06,8.38,16.3,9.29,12180,750,11.2,519,614,26.4,15.1,15.9,114,<PQL,48.1,43.5,238,132
LF 19 10-20,LF 19,36.111367,-94.56025,19b,20,cm,2,279.13,,27.4,18.9,53.7,7.11,18.5,1.98,2.82,1.91,,5.55,2.62,150,0.2,6183,4.34,96,3519,2,7.97,16,8.57,13344,755,11.1,505,742,32.7,15,12.9,198,<PQL,45.8,44.6,260,145
LF 20 10-20,LF 20,36.111106,-94.559581,20b,20,cm,4,281.25,,12.4,21.4,66.2,6.72,22.7,1.15,4.14,2.01,,8.29,11.2,175,0.18,12163,4.23,116,3224,2.35,9.29,24,10.6,14822,1299,19.5,778,833,46.8,19.1,14.8,173,<PQL,42.9,56.7,218,121
LF 21 10-20,LF 21,36.112017,-94.558167,21b,20,cm,4,281.18,,20,10,70,6.2,18.8,2.3,4.15,3,,5.66,14.4,231,0.18,11479,4.23,120,2917,2.33,9.05,22.1,10.5,13883,1328,17.7,787,844,39.3,17.3,16.2,229,<PQL,30.9,60.8,202,112
LF 22 10-20,LF 22,36.10825,-94.560183,22b,20,cm,1,280.1,,16.1,18.9,64.9,,26.8,1.62,3.24,3.34,,8.8,18.1,224,0.13,7344,4.49,103,2733,2.21,8.33,15.7,9.01,13643,739,9.87,510,799,26.1,15.2,14.5,125,<PQL,42.7,49.7,169,93
LF 23 10-20,LF 23,36.1097,-94.560283,23b,20,cm,2,279.61,,13.6,16.4,70,,27.5,1.99,2.31,1.25,,10.3,7.73,147,0.21,6955,4.5,94,3578,1.93,7.88,14.5,8.05,11993,723,9.9,509,750,30,13.9,12.2,178,<PQL,224.8,43.9,291,164
LF 24 10-20,LF 24,36.110633,-94.5608,24b,20,cm,2,279.37,,14.9,16.4,68.7,,27.1,2.17,2.05,1.65,,4.79,8.53,139,0.16,7164,4.47,96,3577,1.92,7.92,14.6,8.18,12502,711,9.9,491,746,28.7,14,12.7,197,<PQL,32,41.9,243,135
LF 25 10-20,LF 25,36.111583,-94.56155,25b,20,cm,2,279.49,,9.85,17.7,72.5,,25.3,1.91,2.64,1.61,,5.75,17.4,213,0.21,8529,5.02,125,3564,2.47,9.19,16.6,10.7,15353,770,11.3,563,890,30.2,17.2,16.2,177,<PQL,34.1,55.7,252,141
LF 26 10-20,LF 26,36.111533,-94.5622,26b,20,cm,2,279.88,,34.9,13.9,51.2,,23.4,2.14,2.45,1.84,,8.75,9.7,173,0.18,8462,4.65,100,3494,1.98,7.51,17.8,9.21,12427,954,12.3,601,682,28.2,15.9,13.4,216,<PQL,65.6,44,223,124
LF 27 10-20,LF 27,36.1106,-94.561383,27b,20,cm,2,279.76,,13.6,15.2,71.2,,27.1,1.68,2.34,2.13,,,145,206,,5831,4.71,113,3019,1.32,8.22,15,9.43,15303,773,8.66,531,874,27.9,13.4,34.9,172,<PQL,17.2,51.9,221,123
LF 28 10-20,LF 28,36.109744,-94.5611724,28b,20,cm,2,279.92,,12.5,12.5,75,,27.1,2.12,2.22,1.87,,10.1,10.7,306,0.18,9808,5.37,123,3503,2.51,9.66,18.8,11,15913,974,15.2,664,841,37.2,18.1,16.3,185,<PQL,70.8,55.6,261,145
LF 29 10-20,LF 29,36.108533,-94.5609,29b,20,cm,1,280.42,,12.3,18.9,68.7,,27.7,2.02,2.03,2.11,,6,15.8,215,0.22,7867,4.83,118,3403,2.44,9.33,15.3,10.9,15492,775,9.64,546,830,25,16.8,16.1,188,<PQL,38.4,53.9,352,200
LF 30 10-20,LF 30,36.116367,-94.556019,30b,20,cm,4,279.25,,8.59,18.9,72.5,,34.3,2.35,3.24,2.73,,10.2,8.37,424,0.18,8832,4.65,118,4022,2.43,9.46,16.5,10.5,14939,931,12.8,653,895,30.1,16.9,15.2,251,<PQL,42.2,55,258,144
LF 31 10-20,LF 31,36.115859,-94.554721,31b,20,cm,4,279.62,,4.95,17.7,77.4,,33.1,2.21,3.71,3.22,,11.6,10.6,204,0.2,9192,4.23,112,3599,2.25,9.27,17.3,10.3,14580,1015,13.3,629,849,27.7,16.8,14.7,222,<PQL,50.4,51.8,224,124
LF 32 10-20,LF 32,36.114996,-94.554446,32b,20,cm,4,279.72,,8.55,18.9,72.5,,32.6,2.07,2.28,1.74,,3.75,10.6,160,0.2,7156,4.35,106,2911,2.31,9.17,18,10.9,13255,908,13.9,632,921,61.7,14.2,37.7,156,<PQL,43.5,54.2,191,105
LF 33 10-20,LF 33,36.114927,-94.556083,33b,20,cm,4,278.68,,6.2,20.2,73.6,,28.9,2.14,1.93,1.65,,2.28,15.2,184,0.2,5330,4.74,110,2524,2,8.6,13,8.91,11476,661,8.45,473,693,55.5,11.6,33.3,,<PQL,64.7,37.3,240,133
LF 34 10-20,LF 34,36.11557,-94.557289,34b,20,cm,4,278.64,,14.9,14.8,70.3,,38.1,2.8,3.26,2.39,,7.72,14.1,238,0.27,7428,5.31,130,4234,2.96,10.1,18.1,,15178,902,14.6,677,1285,68.1,15.6,42.9,209,<PQL,63.3,72.2,215,119
LF 35 10-20,LF 35,36.114922,-94.558491,35b,20,cm,4,279.27,,1.14,23.6,75.3,,28.6,1.8,3.57,3.08,,8.84,20.3,289,0.16,5319,4,91,2273,2.16,8.43,15.2,10.6,12602,636,8.57,486,524,57.3,11.4,39.1,,<PQL,108.3,44.6,184,101
LF 36 10-20,LF 36,36.113821,-94.556968,36b,20,cm,4,279.82,,11.1,13.6,75.3,,31.5,2.31,2.07,1.86,,4.19,11.5,160,0.17,5316,4.78,101,2432,2.19,8.82,14.6,9.65,12539,660,8.74,512,756,54.9,13.7,37.7,123,<PQL,73,45.3,229,127
LF 37 10-20,LF 37,36.112538,-94.557922,37b,20,cm,4,280.68,,2.34,18.6,79.1,,29.3,1.78,2.8,1.85,,3.66,4,175,0.19,6162,5.16,114,2552,2.4,9.23,15.8,10.1,13571,693,9.9,566,1002,56.9,13.5,42.2,125,<PQL,60.1,46.1,215,119
LF 38 10-20,LF 38,36.112956,-94.559435,38b,20,cm,4,280.63,,32.5,10,57.5,,31.4,1.41,2.26,1.98,27.5,2.57,8.1,148,0.15,5372,4.22,84,2088,1.95,7.97,11.6,8.7,12104,693,6.57,504,628,55.5,10.2,34.5,,<PQL,59.8,34.7,182,100
LF 39 10-20,LF 39,36.11042,-94.5565,39b,20,cm,4,279.12,,32.4,16.1,51.6,,28.4,1.86,1.9,1.61,,,4,110,,2811,,65,2415,,5.85,9.56,5.5,8637,487,3.46,287,578,14.4,7.93,20.4,154,<PQL,22.8,28,99,54
LF 40 10-20,LF 40 ,36.113048,-94.554764,40b,20,cm,4,279.13,,11.1,12.3,76.5,,,,2.78,2.55,,,6.87,197,,3932,,101,3846,1.06,7.78,11.3,8.68,12207,636,5.16,421,865,20.4,10.5,28.5,279,<PQL,38,43.1,162,89
LF 41 10-20,LF 41,36.111913,-94.555339,41b,20,cm,4,279.39,,16.1,16.1,67.8,,,,1.92,1.54,,,9.08,178,,3545,,93,3236,0.96,7.2,10.4,7.72,11189,572,4.52,374,821,19.6,9.92,27.2,234,<PQL,33.9,39.5,258,144
LF 42 10-20,LF 42,36.11077,-94.556261,42b,20,cm,4,279.56,,17.4,12.3,70.3,,,,2.96,3.07,,,3.63,191,,3754,,90,3230,1.09,7.26,11.6,8.15,11568,713,4.89,409,802,15.6,10.4,27,264,<PQL,21.8,42,175,96
LF 43 10-20,LF 43,36.115517,-94.559602,43c,20,cm,4,279.57,,7.34,16.1,76.6,,28,1.52,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,259,144
LF 44 10-20,LF 44,36.11463,-94.560477,44c,20,cm,4,279.49,,13.7,11.1,75.2,,31.3,2,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,134,73
LF 45 10-20,LF 45,36.114159,-94.561656,45c,20,cm,3,279.5,,13.6,8.6,77.8,,30.5,1.94,,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,281,158
LF 46 10-20,LF 46,36.112329,-94.562195,46c,20,cm,2,279.69,,21.1,17.3,61.6,,28.7,1.94,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,119,65
