Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 1 A 0-0.5,LF 1 A,36.107767,-94.560067,1Aa,10,feet,1,279.7,,,,,,38.6,3,4.9,2.2,,,16.3,477.7,0.2,8635.6,4.7,117.8,4022,2.5,9.8,18.6,11.2,13279.1,882.4,12.3,727.4,1094.6,39.4,18.5,16.3,252.4,,19.2,71.6,,
LF 1 B 0-0.5,LF 1 B,36.107767,-94.560033,1Ba,10,feet,1,279.8,,,,,,39.5,2.4,3.2,2.1,,,10.4,361.3,0.2,6736.2,4.7,113.3,4604.3,2.5,9.1,16.8,10.8,13452.6,881.1,10.7,674.2,1003,33.1,15.9,24.6,253.2,,25.5,82.2,,
LF 1 C 0-0.5,LF 1 C,36.107783,-94.5602,1Ca,10,feet,1,279.6,,,,,,41,2.8,4.4,3,,,14.3,376.8,0.3,3466.6,,67.3,1688.7,,5.5,11.1,6.3,9251.9,555.4,5.2,332.5,378.5,19.7,7.9,22.8,97,,30.3,33.2,,
LF 1 D 0-0.5,LF 1 D,36.107783,-94.56,1Da,10,feet,1,279.8,,,,,,40.5,3.4,5.1,3.6,,,5.7,278.4,0.2,7996.4,4.9,124.1,4348.2,2.2,10.2,19.2,11.5,13200.2,1048.6,13.1,803.3,968.4,27.3,19.3,17.7,310.3,,36.3,65.1,,
LF 1 E 0-0.5,LF 1 E,36.1078,-94.560067,1Ea,10,feet,1,279.7,,,,,,41.3,2.6,4.8,1.6,,,7.6,525.9,0.2,7152.6,3.6,108.6,3649.2,2.5,9,17.9,10.1,13122.6,871,11.6,676.2,910.9,33.2,15.6,23.2,196.6,,25.7,70.2,,
LF 2 A 0-0.5,LF 2 A,36.10725,-94.560733,2Aa,10,feet,1,281.1,,,,,,44.7,3.1,2.7,1.8,,,6.2,245.1,0.2,10494.2,5.6,138.4,4934.9,2.4,10.5,23.1,12.1,14488.3,1182.3,17.5,991,1003.3,38.1,21,19.3,322.3,,38.3,70.1,,
LF 2 B 0-0.5,LF 2 B,36.107167,-94.5607,2Ba,10,feet,1,281.1,,,,,,40.2,2.4,3,1.6,,,6.8,259.4,0.2,8267.9,5,133.9,4401.4,2.4,10.5,19.3,11.2,13908,964.4,13.1,800.3,1012.4,27.9,19.7,18.7,291.9,,31.4,65.1,,
LF 2 C 0-0.5,LF 2 C,36.106933,-94.56055,2Ca,10,feet,1,281.1,,,,,,43.1,2.3,3.7,1.5,,,6.1,274.3,0.2,7360.8,5.6,110.1,3020.5,2.5,8.8,16.7,9.9,13392,822.1,11.3,603.6,806.7,28.1,14.3,24,191.7,,29.6,53.2,,
LF 2 D 0-0.5,LF 2 D ,36.106833,-94.560383,2Da,10,feet,1,281.1,,,,,,38.8,2.6,2.3,2.9,,,13.7,362.3,0.2,9672.7,5,128,4212.8,2.7,10,20.5,12,14030.2,1175.6,17.5,780.1,1070.9,41.9,19.3,16.1,257.9,,31.6,68.4,,
LF 3 0-10,LF 3 ,36.10481,-94.55821,3a,10,cm,1,280.1,,27.4,13.9,58.7,6.67,34.6,3.7,2.7,1.9,40.9,4.8,7.2,268.2,0.2,7875.7,5.6,128.2,4878.1,2.5,9.6,17.3,12.4,13114.6,924,13.4,663.8,974.5,35,18.2,16.1,318.6,,28.7,60.5,380,217.4
LF 4 0-10,LF 4,36.10513,-94.5582,4a,10,cm,1,280.4,,10,12.7,77.3,,39.5,3,4.6,1.3,,7.7,12.7,337.2,0.2,7497.3,4.4,114.2,4124.9,2.3,9.3,15.1,11.7,13013.8,896.4,10.5,597,923.6,25.3,16.6,15,260.9,,31.1,53.9,374.8,214.1
LF 5 0-10,LF 5,36.104883,-94.557583,5a,10,cm,1,280.9,,18.6,12.7,68.7,6.85,31.2,3.6,3.3,1.3,34.3,4.6,9.6,266.3,0.2,6200.9,4.7,115.3,4787,2.4,9,15,11,13453.6,857.9,10.1,587.1,946.2,25.1,15,24.3,323.5,,33.4,54.9,349.6,198.7
LF 6 0-10,LF 6,36.105983,-94.558717,6a,10,cm,1,279.8,,11.2,12.7,76.2,,33.4,2.9,2.2,1.9,,,11.7,298.9,,4571.6,,103.8,4334.8,,8,12.6,9.3,13138.8,820.1,6.5,498.7,887.3,20.4,11.9,30.6,370.8,,22.8,46.9,316.9,178.9
LF 7 0-10,LF 7,36.106133,-94.55835,7a,10,cm,1,280,,33.8,11.2,55,,30.3,2.9,4.6,1.9,,5.5,8.2,356.6,0.2,9216.5,5.1,125,4238.4,2.6,9.9,17.2,11.7,14264.7,937.5,13.5,675.5,991.5,31.2,17.8,15.5,290.8,,32.6,59,291.8,163.8
LF 8 0-10,LF 8,36.10585,-94.559133,8a,10,cm,1,280.3,,12.3,12.7,75,6.61,38.4,3.3,3.5,2.4,48.6,8.4,16.3,369.4,0.2,7124,5,121.3,3865.3,2.6,9.6,16.8,11.2,14541.7,1032.7,11.9,651.3,984.4,28.6,16.6,25.2,280.1,,28.8,59.8,349.4,198.5
LF 9 0-10,LF 9,36.106433,-94.559783,9a,10,cm,1,280.1,,11.1,16.1,72.8,,39.9,3,4,2.3,,13,13.5,384,0.2,9413.9,5.3,123.6,4411.3,2.6,9.7,20.2,12,13511.9,1321.7,17.2,800.9,914.2,36.6,18.9,75,303.6,,28.6,64.6,351.6,199.9
LF 10 0-10,LF 10,36.107017,-94.559417,10a,10,cm,1,279.6,,19.8,16.1,64.1,,32.8,3,2.6,2.2,43.3,8.2,9.4,212.2,0.3,8238.5,4.8,132.8,4976.8,2.7,9.7,17.5,11.1,13545.8,997,14.6,690.5,1231,37.3,18.1,15.5,283.1,,27.8,64,336,190.4
LF 11 0-10,LF 11,36.11752,-94.56006,11a,10,cm,3,278.8,,12.3,16.1,71.6,,33.2,2.7,2.1,2,,,13.1,138.5,,4051.6,,86.8,3590.2,,6.8,11,7.6,11049.3,708.2,5.9,429.2,761.4,20,9.6,26.5,261.5,,24.1,38.3,305.8,172.2
LF 12 0-10,LF 12,36.11762,-94.56076,12a,10,cm,3,278.4,,10.2,18.6,71.2,,37,3.4,4.6,3,41.7,10.6,19.8,238.9,0.2,8454.8,5.1,127.2,4260.9,2.4,9.4,18,11.8,13343.3,1013.1,14.9,713.4,877.5,34.9,17.8,16.1,266.1,,29.2,53.4,325.6,184.1
LF 13 0-10,LF 13,36.11658,-94.56086,13a,10,cm,3,279.1,,,,,,33,2.9,3.5,2.5,,12.6,11.6,208.4,0.2,8373.6,4.8,112.8,3860.5,2.3,8.8,15.7,10.1,12956.1,972,11.9,611.6,860.1,26.6,15.8,14.6,253.5,,31,50.5,221,122.4
