Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 14 0-10,LF 14,36.11683,-94.56131,14a,10,cm,3,279,,10.2,18.6,71.2,,32.7,3,2.7,2.7,44.8,10.3,19,225,0.2,7318.6,5.5,120.3,4014.2,2.4,8.9,15.8,10.6,14055,919.7,11.4,605.6,880.3,28.4,14.8,25,292.5,,43.3,55,269.7,150.8
LF 15 0-10,LF 15,36.11598,-94.56183,15a,10,cm,3,279.1,,9.9,12.7,77.4,6.55,29.9,2.5,4.7,2.8,,7.7,11.8,245.3,0.2,6047,4.5,106.2,3713.8,2,8.1,13.9,9.5,11056.8,742,9.5,536.6,784.8,24.4,14.7,14.1,252,,31.5,45.6,271.2,151.6
LF 16 0-10,LF 16,36.11582,-94.56119,16a,10,cm,3,279.4,,21.3,7.5,71.2,,34.2,2.8,3,2.5,53.6,12.3,11.4,224.6,0.2,6151.5,4.9,108.8,3481.4,2.3,8.3,13.8,9.8,13170.1,855,9.1,539.3,948.9,23.4,13.6,22.2,248.9,,43.5,54.6,290.2,162.9
LF 17 0-10,LF 17,36.11505,-94.56161,17a,10,cm,3,279.4,,15,15.2,69.9,6.46,34.1,3.2,5.1,3.5,,9.8,10.3,211.7,0.2,7506.9,5.1,109.5,3805.1,2.3,8.5,14.6,10,12352.4,886,10.8,582.9,871.2,24.5,15.3,14.1,259.9,,31,52.4,229.4,127.2
LF 18 0-10,LF 18,36.11498,-94.56238,18a,10,cm,3,279,,7.4,18.9,73.7,6.43,29.7,2.2,4.4,3.1,42.1,11,14.8,208.6,0.2,8641.9,4.7,117.1,3016.8,2.4,9,19.6,11.5,12503.9,1034.9,15.5,666.3,775.8,33.3,17.4,17,167,,50,53.7,255.8,142.6
LF 19 0-10,LF 19,36.111367,-94.56025,19a,10,cm,2,279.1,,26.1,20.2,53.7,6.86,15.1,1.3,2.5,1,28.6,4.9,1.2,104.4,0.2,5513.3,3.8,83.1,3041.3,1.8,7.2,14.8,7.4,10733.1,660.6,9.2,446.3,645,26.4,13.2,11.5,179.4,,46,36.9,114.2,62
LF 20 0-10,LF 20,36.111106,-94.559581,20a,10,cm,4,281.3,,22.4,17.7,59.9,7.11,18.7,2,2.9,1.8,,6.9,10.1,155.5,0.2,7835.2,4.3,91,3308.4,1.9,7.8,17.2,8.3,11252.6,929.2,12.2,576.1,685,29.6,14.8,12.9,205,,45.9,42.9,202,111.5
LF 21 0-10,LF 21,36.112017,-94.558167,21a,10,cm,4,281.2,,30,5,65,6.47,18.2,3.2,4.9,3.2,,6.9,12.5,210.6,0.2,9570.7,3.9,104.8,4251.2,2,8.1,18,9.2,12399.5,1106.5,14.3,674.9,765.1,32.5,14.9,13.5,290.6,,32.4,49.7,273.4,152.9
LF 22 0-10,LF 22,36.10825,-94.560183,22a,10,cm,1,280.1,,12.3,20.2,67.5,,30.7,2.4,3.6,2.9,,8.5,13.3,245.5,0.2,8166.9,5.1,125.9,3775,2.6,9.7,16.5,11.2,14772,908.3,12.4,616.6,1211.8,28.5,17.9,16.2,218,,38.4,60.4,291.6,163.7
LF 23 0-10,LF 23,36.1097,-94.560283,23a,10,cm,2,279.6,,12.3,17.7,70,,30,2.2,2,1.6,33.4,6.2,6.6,135.6,0.2,6685.9,4.2,91.6,3492.8,1.8,7.7,13.6,8,11543.3,721.9,9.5,496.4,735.7,24.9,13.2,12.6,174.8,,53.9,37.3,273.2,152.8
LF 24 0-10,LF 24,36.110633,-94.5608,24a,10,cm,2,279.4,,12.3,15.2,72.5,,28.2,2.4,2.3,1.7,35.2,6.4,10.4,143.7,0.2,7114.5,3.7,96.6,3798.3,1.9,7.9,14.1,8.3,12400.6,711.4,9.5,495.4,757.2,27,13.8,12.6,206.7,,43,40.5,277.4,155.3
LF 25 0-10,LF 25,36.111583,-94.56155,25a,10,cm,2,279.5,,14.9,13.9,71.2,,30,2.8,1.9,2,,,8.2,203,,4658.7,,108.4,3947.8,,7.8,13,9.6,13249.3,672.4,6.3,469.4,869.3,22,12.1,31.3,328.2,,31.8,46.6,204.4,112.9
LF 26 0-10,LF 26,36.111533,-94.5622,26a,10,cm,2,279.9,,37.3,13.9,48.7,,23.3,2.4,2.7,2.3,42,8.9,7.4,143.5,0.1,8027.4,4,90.3,3551.6,1.8,6.9,17.1,8.2,11839.8,930.1,11.1,566.8,599.5,26.5,14.6,12.8,207.3,,64,38.5,225.6,125
LF 27 0-10,LF 27,36.1106,-94.561383,27a,10,cm,2,279.8,,6.1,17.7,76.2,,28.5,2.3,2,1.6,,,7.6,219.2,,4691.4,,91.4,2953.1,1.1,6.7,11.9,7.7,11449.9,691,7.2,456.4,751.6,22.3,10.6,26.7,192.8,,17.9,43.7,180.6,99.3
LF 28 0-10,LF 28,36.109744,-94.5611724,28a,10,cm,2,279.9,,22.5,8.7,68.7,,31.8,2.6,1.9,1.6,,,27.8,205.8,,4400.9,,91.8,3481,1,7.1,11.7,8.2,11782.2,697.6,6.4,446.2,726.7,22.2,10.7,27.9,276.5,,34.3,41,266.6,148.9
LF 29 0-10,LF 29,36.108533,-94.5609,29a,10,cm,1,280.4,,12.4,17.7,70,,29.5,2.3,2.2,2.3,,,9.6,519.7,,4232.6,,102.6,3762,1.2,8,12.1,9.3,12956.6,691.9,5.4,456.7,852.7,17.5,11.8,30.4,283.4,,38.6,47.3,253.2,141.1
LF 30 0-10,LF 30,36.116367,-94.556019,30a,10,cm,4,279.2,,11.2,17.7,71.1,,34.8,2.6,2.2,2.2,,8.9,6.5,268.2,0.2,7148.5,4.8,106.5,4048.1,2.1,8.7,14.3,9.4,12725.9,777.1,9.9,563.5,838.6,25.1,14.7,13.6,251.3,,39.6,43.5,248.8,138.5
LF 31 0-10,LF 31,36.115859,-94.554721,31a,10,cm,4,279.6,,13.6,16.4,69.9,,36.8,2.3,3.1,2.8,37.7,10.4,11,183.3,0.2,8665.9,4.3,101.7,3892.5,2,8.4,16.4,9.1,12984.4,1010,12.7,615.9,789,27.1,15,13.4,240.9,,62.1,44.4,246,136.9
LF 32 0-10,LF 32,36.114996,-94.554446,32a,10,cm,4,279.7,,9.8,16.4,73.7,,35.2,2.2,2.5,2.3,,5.7,7.8,168.6,0.2,6347,4.1,94.4,2845.5,2,8.4,16.3,9.2,11620.1,838.1,12,579,811.8,58.1,12.6,33.7,160.5,,51.5,45.9,205.4,113.4
LF 33 0-10,LF 33,36.114927,-94.556083,33a,10,cm,4,278.7,,4.9,20.2,74.9,,34.9,2.6,2.9,1.7,,6.6,13.4,172.2,0.2,7432.2,5.2,120.1,2988.5,2.5,9.8,18.1,10.7,14175.9,888.2,14.3,652.5,999.5,62.4,14.4,40.5,145.9,,53.6,55.7,214.9,118.9
LF 34 0-10,LF 34,36.11557,-94.557289,34a,10,cm,4,278.6,,12.4,14.8,72.8,,39.3,3.6,2.8,3.1,,10.1,16.3,236.1,0.2,8100.6,6.2,124.7,4535.3,2.7,9.9,19,,14491.2,1000.4,16.4,730.8,1164.4,70.1,15.6,41.3,237.5,,64.9,65.7,168.6,92.5
LF 35 0-10,LF 35,36.114922,-94.558491,35a,10,cm,4,279.3,,14.8,13.6,71.6,,38.1,2.8,3.6,3.6,,9.8,16.1,250.5,0.2,5971.6,4.7,103.6,2723.7,2.4,9.1,16.1,10.6,13358.2,761.9,10.5,569.3,786.7,59.1,13.3,39.5,139.3,,58.2,55.5,197.8,109.1
LF 36 0-10,LF 36,36.113821,-94.556968,36a,10,cm,4,279.8,,11.1,13.6,75.3,,34.9,2.2,2,1.7,30.1,6.1,9.4,169.4,0.2,6470.2,4.5,115.9,3133.8,2.4,9.7,16.6,10.7,12928.3,798.8,11.8,618.4,934.4,57.3,13.9,40.3,184.3,,57.9,54.3,138.9,75.9
LF 37 0-10,LF 37,36.112538,-94.557922,37a,10,cm,4,280.7,,12.4,13.6,74,,39.1,2.8,2.2,1.4,,3.7,0.7,143.6,0.2,5924.7,4.8,116.2,2662.3,2.5,9.8,16.6,11,13697.5,670.6,9.2,565.6,1191.2,56.2,12.8,45,136.1,,52.8,54.4,191.4,105.4
LF 38 0-10,LF 38,36.112956,-94.559435,38a,10,cm,4,280.6,,42.5,6.2,51.2,,38,5.5,3.4,2.6,34.8,6.9,4.5,178.5,0.2,6751.4,4.3,100.5,2842.1,2.1,7.8,17.1,11,11324.9,859.6,12.9,635.9,769.2,60.2,12.5,34.9,175.2,,48.8,52.1,166.8,91.5
LF 39 0-10,LF 39,36.11042,-94.5565,39a,10,cm,4,279.1,,12.4,14.8,72.8,,30.5,1.3,1.9,1.8,,,4.8,114,,3619.8,,75.5,3071.1,0.9,6.1,10.4,6.4,9760.1,611.8,5.1,367.8,654,15.5,8.8,23.3,193.9,,31,33.4,121,65.8
LF 40 0-10,LF 40 ,36.113048,-94.554764,40a,10,cm,4,279.1,,11.1,13.6,75.3,,,,2.8,3.1,,,7.8,193.7,,4175.2,,95.5,4016.6,,7.4,11.4,8.2,11884.8,690.7,5.9,447.5,813.8,20.6,10.2,28.3,807.4,,34.1,41.3,151.2,82.7
LF 41 0-10,LF 41,36.111913,-94.555339,41a,10,cm,4,279.4,,22.5,7.5,70,,,,2.5,2.4,,,4.4,175.5,,3679.7,,86.8,3128.2,1,6.9,10.4,7.5,10928.3,598.6,5,391.6,761.6,27.8,9,26.1,250.1,,31.8,37.2,161.2,88.3
LF 42 0-10,LF 42,36.11077,-94.55626,42a,10,cm,4,279.6,,22.4,11.1,66.5,,,,2.8,3,,,9.3,187.2,,3578.4,,81.9,3099.9,1,6.9,10.9,7.3,10482,722.1,4.9,397,725.6,17.5,9.2,24.1,238.6,,29.1,38.4,110.8,60.2
LF 43 0-10,LF 43,36.11552,-94.5596,43a,5,cm,4,279.6,,12.4,11.1,76.5,,33.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5,84.0
LF 44 0-10,LF 44,36.11463,-94.56048,44a,5,cm,4,279.5,,17.4,10.5,72.2,,64.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2,81.6
LF 45 0-10,LF 45,36.11416,-94.56166,45a,5,cm,3,279.5,,11.1,11.7,77.2,,34.4,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5,100.4
LF 46 0-10,LF 46,36.11233,-94.5622,46a,5,cm,2,279.7,,17.4,18.6,64.1,,34.6,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,198.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
