Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 4 0-10,LF 4,36.10513,-94.5582,4a,10,cm,1,280.4,,10.0,12.7,77.3,,39.5,3.00,4.57,1.26,,7.69,12.7,337,0.18,7497,4.43,114,4125,2.34,9.30,15.1,11.7,13014,896,10.5,597,924,25.3,16.6,15.0,261,,31.0,53.9,374,214
LF 5 0-10,LF 5,36.104883,-94.557583,5a,10,cm,1,280.9,,18.6,12.7,68.7,6.85,31.2,3.55,3.32,1.33,34.29,4.63,9.5,266,0.19,6201,4.72,115,4787,2.39,8.99,15.0,11.0,13454,858,10.1,587,946,25.1,15.0,24.3,323,,33.4,54.9,348,198
LF 6 0-10,LF 6,36.105983,-94.558717,6a,10,cm,1,279.8,,11.2,12.7,76.2,,33.4,2.90,2.23,1.85,,,11.7,299,,4572,,104,4335,,8.00,12.6,9.30,13139,820,6.49,499,887,20.4,11.9,30.6,371,,22.8,46.9,316,178
LF 7 0-10,LF 7,36.106133,-94.55835,7a,10,cm,1,280,,33.8,11.2,55.0,,30.3,2.94,4.60,1.94,,5.50,8.2,357,0.21,9217,5.11,125,4238,2.55,9.85,17.2,11.7,14265,938,13.5,675,991,31.2,17.8,15.5,291,,32.6,59.0,291,163
LF 8 0-10,LF 8,36.10585,-94.559133,8a,10,cm,1,280.3,,12.3,12.7,75.0,6.61,38.4,3.30,3.54,2.38,48.59,8.42,16.3,369,0.19,7124,5.02,121,3865,2.64,9.55,16.8,11.2,14542,1033,11.9,651,984,28.6,16.6,25.2,280,,28.8,59.8,349,198
LF 9 0-10,LF 9,36.106433,-94.559783,9a,10,cm,1,280.1,,11.1,16.1,72.8,,39.9,3.02,4.03,2.25,,12.95,13.5,384,0.20,9414,5.34,124,4411,2.57,9.67,20.2,12.0,13512,1322,17.2,801,914,36.6,18.9,75.0,304,,28.6,64.6,350,199
LF 10 0-10,LF 10,36.107017,-94.559417,10a,10,cm,1,279.6,,19.8,16.1,64.1,,32.8,3.04,2.58,2.17,43.29,8.19,9.4,212,0.25,8239,4.82,133,4977,2.74,9.69,17.4,11.1,13546,997,14.6,690,1231,37.3,18.1,15.5,283,,27.8,64.0,335,190
LF 11 0-10,LF 11,36.11752,-94.56006,11a,10,cm,3,278.8,,12.3,16.1,71.6,,33.2,2.69,2.05,1.97,,,13.0,139,,4052,,86.8,3590,,6.80,11.0,7.59,11049,708,5.92,429,761,20.0,9.59,26.5,262,,24.1,38.3,305,172
LF 12 0-10,LF 12,36.11762,-94.56076,12a,10,cm,3,278.4,,10.2,18.6,71.2,,37.0,3.41,4.64,3.00,41.70,10.64,19.8,239,0.20,8455,5.10,127,4261,2.44,9.38,18.0,11.8,13343,1013,14.9,713,878,34.9,17.8,16.1,266,,29.2,53.4,325,184
LF 13 0-10,LF 13,36.11658,-94.56086,13a,10,cm,3,279.1,,,,,,32.9,2.92,3.51,2.49,,12.59,11.6,208,0.21,8374,4.78,113,3861,2.30,8.84,15.7,10.1,12956,972,11.9,612,860,26.6,15.8,14.6,254,,31.0,50.5,221,122
LF 14 0-10,LF 14,36.11683,-94.56131,14a,10,cm,3,279,,10.2,18.6,71.2,,32.7,3.03,2.67,2.71,44.78,10.31,19.0,225,0.17,7319,5.45,120,4014,2.44,8.92,15.8,10.6,14055,920,11.4,606,880,28.4,14.8,25.0,292,,43.3,55.0,269,151
LF 15 0-10,LF 15,36.11598,-94.56183,15a,10,cm,3,279.1,,9.9,12.7,77.4,6.55,29.9,2.45,4.73,2.78,,7.73,11.8,245,0.15,6047,4.47,106,3714,2.02,8.06,13.9,9.51,11057,742,9.52,537,785,24.4,14.7,14.1,252,,31.5,45.6,270,151
LF 16 0-10,LF 16,36.11582,-94.56119,16a,10,cm,3,279.4,,21.3,7.5,71.2,,34.2,2.82,3.01,2.47,53.58,12.29,11.4,225,0.21,6151,4.93,109,3481,2.34,8.28,13.8,9.75,13170,855,9.12,539,949,23.4,13.6,22.2,249,,43.5,54.6,289,162
LF 17 0-10,LF 17,36.11505,-94.56161,17a,10,cm,3,279.4,,15.0,15.2,69.9,6.46,34.1,3.15,5.05,3.54,,9.80,10.3,212,0.19,7507,5.09,109,3805,2.25,8.54,14.6,10.0,12352,886,10.8,583,871,24.5,15.3,14.1,260,,31.0,52.4,229,127
LF 18 0-10,LF 18,36.11498,-94.56238,18a,10,cm,3,279,,7.4,18.9,73.7,6.43,29.7,2.23,4.44,3.06,42.09,10.95,14.8,209,0.17,8642,4.74,117,3017,2.35,8.95,19.5,11.5,12504,1035,15.5,666,776,33.3,17.4,17.0,167,,50.0,53.7,255,142
LF 19 0-10,LF 19,36.111367,-94.56025,19a,10,cm,2,279.1,,26.1,20.2,53.7,6.86,15.1,1.26,2.51,1.03,28.59,4.90,1.2,104,0.16,5513,3.84,83.1,3041,1.75,7.24,14.8,7.36,10733,661,9.24,446,645,26.4,13.2,11.5,179,,46.0,36.9,114,62
LF 20 0-10,LF 20,36.111106,-94.559581,20a,10,cm,4,281.3,,22.4,17.7,59.9,7.11,18.7,2.04,2.94,1.75,,6.90,10.1,155,0.19,7835,4.29,91.0,3308,1.90,7.77,17.2,8.34,11253,929,12.2,576,685,29.6,14.8,12.9,205,,45.9,42.8,202,111
LF 21 0-10,LF 21,36.112017,-94.558167,21a,10,cm,4,281.2,,30.0,5.0,65.0,6.47,18.2,3.16,4.88,3.20,,6.93,12.5,211,0.15,9571,3.92,105,4251,2.03,8.11,18.0,9.15,12400,1106,14.3,675,765,32.5,14.9,13.5,291,,32.4,49.7,273,153
LF 22 0-10,LF 22,36.10825,-94.560183,22a,10,cm,1,280.1,,12.3,20.2,67.5,,30.7,2.44,3.57,2.88,,8.46,13.3,246,0.23,8167,5.12,126,3775,2.57,9.69,16.5,11.2,14772,908,12.4,617,1212,28.5,17.9,16.2,218,,38.4,60.4,291,163
LF 23 0-10,LF 23,36.1097,-94.560283,23a,10,cm,2,279.6,,12.3,17.7,70.0,,30.0,2.21,1.97,1.57,33.39,6.15,6.6,136,0.19,6686,4.15,91.6,3493,1.81,7.72,13.6,7.97,11543,722,9.48,496,736,24.9,13.2,12.6,175,,53.9,37.3,272,152
LF 24 0-10,LF 24,36.110633,-94.5608,24a,10,cm,2,279.4,,12.3,15.2,72.5,,28.2,2.37,2.34,1.71,35.20,6.43,10.4,144,0.20,7115,3.73,96.6,3798,1.89,7.89,14.1,8.27,12401,711,9.48,495,757,27.0,13.8,12.6,207,,43.0,40.5,276,155
LF 25 0-10,LF 25,36.111583,-94.56155,25a,10,cm,2,279.5,,14.9,13.9,71.2,,30.0,2.83,1.90,1.99,,,8.2,203,,4659,0.00,108,3948,,7.77,12.9,9.59,13249,672,6.31,469,869,22.0,12.1,31.3,328,,31.8,46.6,204,112
LF 26 0-10,LF 26,36.111533,-94.5622,26a,10,cm,2,279.9,,37.3,13.9,48.7,,23.3,2.42,2.71,2.31,41.99,8.93,7.4,143,0.14,8027,4.04,90.3,3552,1.77,6.85,17.1,8.23,11840,930,11.1,567,600,26.5,14.6,12.8,207,,64.0,38.5,225,124
LF 27 0-10,LF 27,36.1106,-94.561383,27a,10,cm,2,279.8,,6.1,17.7,76.2,,28.5,2.32,1.98,1.64,,,7.6,219,,4691,,91.4,2953,1.06,6.65,11.9,7.72,11450,691,7.16,456,752,22.3,10.6,26.6,193,,17.9,43.7,180,99
LF 28 0-10,LF 28,36.109744,-94.5611724,28a,10,cm,2,279.9,,22.5,8.7,68.7,,31.8,2.62,1.91,1.58,,,27.7,206,,4401,,91.8,3481,1.03,7.08,11.6,8.17,11782,698,6.44,446,727,22.2,10.6,27.9,277,,34.3,41.0,266,149
LF 29 0-10,LF 29,36.108533,-94.5609,29a,10,cm,1,280.4,,12.4,17.7,70.0,,29.5,2.31,2.23,2.26,,,9.6,520,,4233,,103,3762,1.20,8.04,12.1,9.30,12957,692,5.38,457,853,17.5,11.8,30.4,283,,38.6,47.3,253,141
LF 30 0-10,LF 30,36.116367,-94.556019,30a,10,cm,4,279.2,,11.2,17.7,71.1,,34.8,2.62,2.22,2.20,,8.88,6.5,268,0.20,7149,4.81,106,4048,2.06,8.68,14.3,9.36,12726,777,9.87,564,839,25.1,14.7,13.6,251,,39.5,43.5,248,138
LF 31 0-10,LF 31,36.115859,-94.554721,31a,10,cm,4,279.6,,13.6,16.4,69.9,,36.8,2.33,3.08,2.75,37.68,10.36,11.0,183,0.18,8666,4.28,102,3892,2.01,8.39,16.4,9.11,12984,1010,12.7,616,789,27.1,15.0,13.4,241,,62.1,44.4,245,136
LF 32 0-10,LF 32,36.114996,-94.554446,32a,10,cm,4,279.7,,9.8,16.4,73.7,,35.2,2.19,2.48,2.30,,5.69,7.8,169,0.19,6347,4.14,94.4,2845,2.04,8.37,16.3,9.23,11620,838,12.0,579,812,58.0,12.6,33.7,161,,51.5,45.9,205,113
LF 33 0-10,LF 33,36.114927,-94.556083,33a,10,cm,4,278.7,,4.9,20.2,74.9,,34.9,2.57,2.86,1.70,,6.58,13.4,172,0.19,7432,5.24,120,2988,2.48,9.78,18.1,10.6,14176,888,14.3,652,1000,62.4,14.4,40.5,146,,53.6,55.7,214,119
LF 34 0-10,LF 34,36.11557,-94.557289,34a,10,cm,4,278.6,,12.4,14.8,72.8,,39.3,3.63,2.80,3.10,,10.14,16.3,236,0.21,8101,6.20,125,4535,2.73,9.92,19.0,,14491,1000,16.4,731,1164,70.1,15.6,41.3,237,,64.9,65.7,168,92
LF 35 0-10,LF 35,36.114922,-94.558491,35a,10,cm,4,279.3,,14.8,13.6,71.6,,38.1,2.79,3.56,3.62,,9.80,16.1,250,0.18,5972,4.69,104,2724,2.40,9.05,16.1,10.6,13358,762,10.5,569,787,59.1,13.3,39.5,139,,58.2,55.5,197,109
LF 36 0-10,LF 36,36.113821,-94.556968,36a,10,cm,4,279.8,,11.1,13.6,75.3,,34.9,2.24,2.00,1.69,30.09,6.07,9.4,169,0.21,6470,4.48,116,3134,2.44,9.67,16.6,10.7,12928,799,11.8,618,934,57.3,13.9,40.3,184,,57.9,54.3,139,76
LF 37 0-10,LF 37,36.112538,-94.557922,37a,10,cm,4,280.7,,12.4,13.6,74.0,,39.1,2.80,2.23,1.40,,3.67,0.7,144,0.22,5925,4.80,116,2662,2.53,9.75,16.6,11.0,13697,671,9.19,566,1191,56.2,12.7,45.0,136,,52.7,54.4,191,105
LF 38 0-10,LF 38,36.112956,-94.559435,38a,10,cm,4,280.6,,42.5,6.2,51.2,,38.0,5.45,3.39,2.59,34.80,6.90,4.5,178,0.18,6751,4.28,100,2842,2.11,7.82,17.1,11.0,11325,860,12.9,636,769,60.2,12.5,34.9,175,,48.8,52.1,167,91
LF 39 0-10,LF 39,36.11042,-94.5565,39a,10,cm,4,279.1,,12.4,14.8,72.8,,30.5,1.31,1.85,1.75,,,4.8,114,,3620,,75.5,3071,0.86,6.14,10.4,6.37,9760,612,5.13,368,654,15.5,8.79,23.3,194,,31.0,33.4,121,66
LF 40 0-10,LF 40 ,36.113048,-94.554764,40a,10,cm,4,279.1,,11.1,13.6,75.3,,,,2.79,3.06,,,7.7,194,,4175,,95.5,4017,,7.38,11.3,8.20,11885,691,5.88,448,814,20.6,10.2,28.3,807,,34.1,41.3,151,83
LF 41 0-10,LF 41,36.111913,-94.555339,41a,10,cm,4,279.4,,22.5,7.5,70.0,,,,2.52,2.41,,,4.4,175,,3680,,86.8,3128,1.00,6.85,10.4,7.45,10928,599,4.96,392,762,27.8,9.04,26.0,250,,31.8,37.2,161,88
LF 42 0-10,LF 42,36.11077,-94.55626,42a,10,cm,4,279.6,,22.4,11.1,66.5,,,,2.83,3.03,,,9.3,187,,3578,,81.8,3100,0.98,6.87,10.9,7.26,10482,722,4.90,397,726,17.5,9.21,24.1,239,,29.1,38.4,111,60
LF 43 0-10,LF 43,36.11552,-94.5596,43a,10,cm,4,279.6,,12.4,11.1,76.5,,33.8,2.37,,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,153,84
LF 44 0-10,LF 44,36.11463,-94.56048,44a,10,cm,4,279.5,,17.4,10.5,72.2,,64.8,2.36,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,149,81
LF 45 0-10,LF 45,36.11416,-94.56166,45a,10,cm,3,279.5,,11.1,11.7,77.2,,34.3,2.24,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,182,100
LF 46 0-10,LF 46,36.11233,-94.5622,46a,10,cm,2,279.7,,17.4,18.6,64.1,,34.6,2.17,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,348,198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
