Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot,P_sorb,PSI
LF 1 A 0-0.5,LF 1 A,36.107767,-94.560067,1Aa,10,feet,1,279.7,,,,,,38.6,3.01,4.93,2.20,,,16.3,478,0.22,8636,4.70,118,4022,2.47,9.82,18.6,11.2,13279,882,12.2,727,1095,39.4,18.5,16.3,252,,19.2,71.6,,
LF 1 B 0-0.5,LF 1 B,36.107767,-94.560033,1Ba,10,feet,1,279.8,,,,,,39.5,2.35,3.23,2.09,,,10.4,361,0.19,6736,4.66,113,4604,2.50,9.05,16.8,10.8,13453,881,10.7,674,1003,33.1,15.9,24.6,253,,25.5,82.2,,
LF 1 C 0-0.5,LF 1 C,36.107783,-94.5602,1Ca,10,feet,1,279.6,,,,,,41.0,2.81,4.41,2.96,,,14.3,377,0.30,3467,,67.2,1689,,5.48,11.1,6.31,9252,555,5.15,333,379,19.7,7.85,22.8,97,,30.3,33.2,,
LF 1 D 0-0.5,LF 1 D,36.107783,-94.56,1Da,10,feet,1,279.8,,,,,,40.5,3.42,5.07,3.59,,,5.7,278,0.17,7996,4.87,124,4348,2.24,10.2,19.2,11.4,13200,1049,13.1,803,968,27.3,19.3,17.7,310,,36.3,65.1,,
LF 1 E 0-0.5,LF 1 E,36.1078,-94.560067,1Ea,10,feet,1,279.7,,,,,,41.3,2.61,4.77,1.62,,,7.6,526,0.24,7153,3.63,109,3649,2.45,9.01,17.9,10.1,13123,871,11.6,676,911,33.2,15.6,23.2,197,,25.7,70.2,,
LF 2 A 0-0.5,LF 2 A,36.10725,-94.560733,2Aa,10,feet,1,281.1,,,,,,44.7,3.05,2.67,1.84,,,6.2,245,0.18,10494,5.57,138,4935,2.44,10.5,23.1,12.1,14488,1182,17.5,991,1003,38.1,21.0,19.3,322,,38.3,70.1,,
LF 2 B 0-0.5,LF 2 B,36.107167,-94.5607,2Ba,10,feet,1,281.1,,,,,,40.2,2.36,3.04,1.59,,,6.8,259,0.17,8268,4.96,134,4401,2.37,10.5,19.3,11.2,13908,964,13.1,800,1012,27.9,19.7,18.7,292,,31.4,65.1,,
LF 2 C 0-0.5,LF 2 C,36.106933,-94.56055,2Ca,10,feet,1,281.1,,,,,,43.1,2.32,3.73,1.48,,,6.1,274,0.24,7361,5.59,110,3020,2.45,8.84,16.7,9.88,13392,822,11.3,604,807,28.1,14.3,24.0,192,,29.6,53.2,,
LF 2 D 0-0.5,LF 2 D ,36.106833,-94.560383,2Da,10,feet,1,281.1,,,,,,38.8,2.56,2.26,2.85,,,13.7,362,0.20,9673,5.02,128,4213,2.73,9.97,20.5,12.0,14030,1176,17.5,780,1071,41.9,19.3,16.1,258,,31.6,68.4,,
LF 3 0-10,LF 3 ,36.10481,-94.55821,3a,10,cm,1,280.1,,27.4,13.9,58.7,6.67,34.6,3.66,2.67,1.85,40.89,4.77,7.2,268,0.23,7876,5.60,128,4878,2.48,9.63,17.2,12.4,13115,924,13.4,664,974,35.0,18.2,16.1,319,,28.7,60.5,379,217
