UID,DEPTH,DEPTH_A,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
21a,10,0-10cmbgs,4,281.18,30.02851338,4.99796333,64.97352329,6.5,18.2,3.2,4.9,,6.9,12.5,210.6,0.1,9570.6,3.9,104.7,4251.2,2,8.1,18,9.2,12399.5,1106.5,14.3,674.9,765.1,32.5,14.9,13.5,290.6,,32.4,49.7,273.4,152.9
21b,20,10-20cmbgs,4,281.18,20.019995,9.997500625,69.98250437,6.2,18.8,2.3,4.1,,5.7,14.4,231,0.2,11478.8,4.2,120.4,2916.6,2.3,9,22.1,10.5,13882.5,1328.4,17.7,787,844.4,39.3,17.3,16.2,228.8,,30.9,60.8,202.6,111.9
21c,30,20-30cmbgs,4,281.18,27.50888016,17.49785651,54.99326333,6.1,17.9,1.8,4.3,,9.2,12.7,208.8,0.2,11478.2,3.9,122.4,2673.3,2.4,9.6,20.8,10.4,14887.1,1235.3,17.2,759.7,888.6,35.8,17.4,17.7,178,,43.5,59.6,289.2,162.3
22a,10,0-10cmbgs,1,280.1,12.31885145,20.19565793,67.48549062,,30.7,2.4,3.6,,8.5,13.3,245.5,0.2,8166.9,5.1,125.9,3775,2.6,9.7,16.5,11.2,14772,908.3,12.4,616.6,1211.8,28.5,17.9,16.2,218,,38.4,60.4,291.6,163.7
22b,20,10-20cmbgs,1,280.1,16.13135259,18.93163631,64.9370111,,26.8,1.6,3.2,,8.8,18.1,224.3,0.1,7344.1,4.5,103,2733.4,2.2,8.3,15.7,9,13643.1,739.1,9.9,509.9,799.1,26.1,15.2,14.5,125.4,,42.7,49.7,169.4,92.9
22c,30,20-30cmbgs,1,280.1,28.57214264,17.6945147,53.73334266,,24.6,1.2,3.1,,10.9,10.7,195,0.1,5768.1,3.5,75.8,1915.5,1.6,6.7,13.8,6.5,10284.2,594.5,7.8,396.4,468.1,22.2,11.8,12.2,82.5,,47.7,35.9,39.2,21
23a,10,0-10cmbgs,2,279.61,12.34185676,17.69155228,69.96659095,,30,2.2,2,33.4,6.1,6.6,135.6,0.2,6685.9,4.1,91.6,3492.8,1.8,7.7,13.6,8,11543.3,721.9,9.5,496.4,735.7,24.9,13.2,12.6,174.8,,53.9,37.3,273.2,152.8
23b,20,10-20cmbgs,2,279.61,13.56037276,16.44802624,69.99160101,,27.5,2,2.3,,10.3,7.7,147.2,0.2,6954.8,4.5,93.8,3578,1.9,7.9,14.5,8,11993,722.6,9.9,508.8,749.6,30,13.9,12.2,177.7,,224.8,43.9,292.6,164.3
23c,30,20-30cmbgs,2,279.61,11.1095566,17.68814894,71.20229446,,28.7,2.2,2.3,,7.7,8.9,172.3,0.2,9495.2,4.7,105,3969,2.1,8.5,17.9,9.3,14174.3,962.7,14.2,636.4,815.6,36.6,16.6,13.5,196.6,,73.1,48.9,288.6,161.9
24a,10,0-10cmbgs,2,279.37,12.32498738,15.19566923,72.47934339,,28.2,2.4,2.3,35.2,6.4,10.4,143.7,0.2,7114.5,3.7,96.6,3798.3,1.9,7.9,14.1,8.3,12400.6,711.4,9.5,495.4,757.2,27,13.8,12.6,206.7,,43,40.5,277.4,155.3
24b,20,10-20cmbgs,2,279.37,14.88724058,16.43315602,68.67960341,,27.1,2.2,2,,4.8,8.5,138.8,0.2,7164.3,4.5,96,3576.8,1.9,7.9,14.6,8.2,12502.2,710.9,9.9,491.3,745.6,28.7,14,12.7,196.9,,32,41.9,243.8,135.6
24c,30,20-30cmbgs,2,279.37,11.06600812,17.69681457,71.23717731,,27.4,2.4,2.2,,,9.6,175.4,,4002.3,,89.8,3311.6,,6.9,11.4,7.6,11586.9,620.6,5.7,384.5,768.5,21.7,10.3,27.2,211.3,,27.1,41.4,163.4,89.5
25a,10,0-10cmbgs,2,279.49,14.88447716,13.93616835,71.17935449,,30,2.8,1.9,,,8.2,203,,4658.7,,108.4,3947.8,,7.8,12.9,9.6,13249.3,672.4,6.3,469.4,869.3,22,12.1,31.3,328.2,,31.8,46.6,204.4,112.9
