Sample ID ,Area Code,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 19 0-10,2,6.86,15.10669175,1.264011036,2.508244229,28.58570715,4.899183469,1.237343776,,0.158133283,5513.306321,3.8366512,83.14033898,3041.338022,1.751236549,7.237591472,14.75102061,7.35734289,10733.10885,660.565198,9.243069493,446.3288877,644.9770434,26.44182956,13.16016908,11.54024969,179.3866007,BL,45.99713377,36.86143115
LF 19 10-20,2,7.11,18.50848084,1.984353563,2.817558116,NM,5.549630025,2.618584425,,0.196838589,6183.379608,4.336712472,95.77177958,3518.759316,1.998060566,7.96852306,15.95778759,8.571771213,13343.87578,754.699892,11.12091822,504.9982821,742.4726937,32.71278686,15.04464957,12.87870633,198.3716095,BL,45.8188279,44.5637637
LF 19 20-30,2,6.93,20.38221473,1.846950258,3.257068638,NM,4.75904819,10.90774486,,0.188908532,8976.031664,4.397593394,103.5072887,3439.522048,2.149283966,8.450138523,18.99347398,9.413376861,12204.21535,939.2390448,14.40974558,585.2712979,766.2999095,41.95762244,16.412854,13.24260108,180.5129396,BL,35.373251,50.49415144
LF 23 0-10,2,NM,29.98288771,2.209068463,1.968490824,33.39332134,6.149180109,6.616538346,,0.189859283,6685.917357,4.147116318,91.56896736,3492.771762,1.809641387,7.715069058,13.59441942,7.967905552,11543.29621,721.9425011,9.479770897,496.3985369,735.7232753,24.86228958,13.16584456,12.60049268,174.8004117,BL,53.89921581,37.33456025
LF 23 10-20,2,NM,27.47218503,1.994283696,2.309538092,NM,10.30828195,7.729275362,,0.206130326,6954.756601,4.504566024,93.82475296,3578.010207,1.931956485,7.875002992,14.53177575,8.047534075,11992.96368,722.6465453,9.904665252,508.7956074,749.6475567,30.01329699,13.89297787,12.19683448,177.7224755,BL,224.8429535,43.88421892
LF 23 20-30,2,NM,28.74825694,2.244337984,2.338908509,NM,7.73845231,8.896289141,,0.197914975,9495.20641,4.744147532,104.9945689,3969.009951,2.137730812,8.508268263,17.9466435,9.321826464,14174.29985,962.7219545,14.2386696,636.3500935,815.6483994,36.62547901,16.5836559,13.49547656,196.5772069,BL,73.13212601,48.86071354
LF 24 0-10,2,NM,28.1956991,2.373503736,2.338986439,35.19648035,6.429142781,10.38453873,,0.202263304,7114.54028,3.72555956,96.58026144,3798.334995,1.887997965,7.891582935,14.06511879,8.265350607,12400.56304,711.4293241,9.484937224,495.3897457,757.1669292,27.02136242,13.75338682,12.5898291,206.7155819,BL,42.97675762,40.52329235
LF 24 10-20,2,NM,27.10418233,2.172520478,2.04904378,NM,4.789361418,8.526261078,,0.156489016,7164.287061,4.472085438,96.00868794,3576.824133,1.921932201,7.919991449,14.61967744,8.181698737,12502.18451,710.868856,9.904519257,491.332269,745.5744134,28.68608384,14.03315249,12.71257051,196.9187766,BL,31.98759026,41.85844378
LF 24 20-30,2,NM,27.37904766,2.352058561,2.169783022,NM,NM,9.64392975,,BL,4002.289879,BL,89.81566158,3311.624026,BL,6.941312884,11.37085104,7.637954392,11586.88544,620.6329436,5.726855255,384.4790252,768.5182066,21.68363337,10.26302222,27.16768596,211.3409518,BL,27.05528143,41.43217612
LF 25 0-10,2,NM,29.9729783,2.834797965,1.899620076,NM,NM,8.209758048,,BL,4658.695918,BL,108.4163802,3947.78616,BL,7.774254408,12.94843036,9.585436168,13249.30318,672.4072832,6.313815724,469.3660137,869.2505506,22.00037596,12.14125891,31.25796753,328.1804387,BL,31.8042284,46.63980183
LF 25 10-20,2,NM,25.31184618,1.906087377,2.638856496,NM,5.749233436,17.40229969,,0.214865381,8529.382819,5.021194432,124.9906432,3563.632729,2.474135834,9.186624832,16.61385962,10.71707849,15352.96021,769.6607364,11.25013361,563.0325463,889.5621924,30.16886609,17.22630812,16.23979665,177.0913898,BL,34.13031817,55.66759409
LF 25 20-30,2,NM,26.35706365,1.895500998,2.979304829,NM,6.249166778,12.45720188,,0.204975825,7603.393208,4.779863962,119.210002,3280.720616,2.357991026,8.863179263,15.43696621,9.929381676,14681.10465,688.7597861,9.646168455,510.4092856,798.7689474,27.82041813,16.29439885,16.15689381,140.7770682,BL,35.09577816,47.90722862
LF 26 0-10,2,NM,23.27657202,2.418838173,2.709096968,41.98530514,8.929107089,7.354051084,,0.137536007,8027.367261,4.041680774,90.26437591,3551.555271,1.77496769,6.849355062,17.12988786,8.233485246,11839.80154,930.056037,11.12493991,566.7453365,599.5393684,26.52102802,14.62896117,12.75009343,207.3089625,BL,64.01903898,38.49728795
LF 26 10-20,2,NM,23.40788702,2.142074707,2.449020392,NM,8.74854191,9.695441823,,0.177193212,8461.788624,4.654757182,100.4212305,3494.405111,1.980637822,7.51278553,17.80125364,9.213323763,12427.49694,953.9152633,12.28863335,600.9370871,681.6380047,28.24356472,15.93860687,13.38144536,215.9163857,BL,65.57750282,44.02915518
LF 26 20-30,2,NM,26.02329822,2.44298574,1.689662068,NM,NM,8.733484283,,BL,4205.622277,BL,94.20585838,3552.343904,1.005198675,6.628623565,12.37610283,8.465255228,11124.81073,677.0726279,6.193761497,421.4982336,679.5537153,19.01032451,10.93044396,27.20754169,673.9886408,BL,31.12197208,40.05142354
LF 27 0-10,2,NM,28.48992041,2.317001772,1.97934022,NM,NM,7.620001998,,BL,4691.387058,BL,91.40772976,2953.095538,1.058544781,6.649930334,11.93413386,7.71609861,11449.92978,691.0048487,7.155323246,456.371593,751.5937008,22.25051712,10.62334106,26.64658341,192.7746596,BL,17.94346635,43.73038852
LF 27 10-20,2,NM,27.06768373,1.679736949,2.339922003,NM,NM,144.6026187,,BL,5830.851912,4.705368643,112.9831118,3019.108869,1.323336082,8.216921104,14.97942306,9.432621683,15302.95483,772.6286325,8.663541449,530.7502192,874.2861222,27.88898412,13.39258097,34.93397344,171.5002026,BL,17.16294992,51.86512741
LF 27 20-30,2,NM,26.52586694,1.52492424,2.358742004,NM,NM,9.691566747,,BL,5309.111985,4.887424763,103.3300554,2729.175542,1.178027773,7.824596181,13.89672309,8.692487841,13949.47293,711.5510228,7.798121147,478.5151039,769.7760745,25.81137831,12.25171132,32.27373388,153.1093487,BL,28.86779862,46.15666325
LF 28 0-10,2,NM,31.81161357,2.616352201,1.908663935,NM,NM,27.74749675,,BL,4400.901803,BL,91.83410152,3481.005526,1.029498857,7.083005535,11.64599723,8.170131409,11782.23283,697.5850435,6.440653428,446.1888541,726.6855742,22.2151035,10.64987309,27.93998043,276.5245465,BL,34.27272227,40.98371093
LF 28 10-20,2,NM,27.12706987,2.11550858,2.218742712,NM,10.0689931,10.70790921,,0.175660091,9807.873738,5.368605151,123.4356621,3502.586683,2.51047972,9.664979474,18.788587,10.9674771,15912.91235,973.8581154,15.15565869,664.297267,840.9239478,37.18768016,18.14973952,16.31138165,185.0350935,BL,70.77295052,55.58922296
LF 28 20-30,2,NM,26.53019797,1.821039667,2.078891258,,NM,12.19202319,,BL,5350.187334,4.859023107,112.1858425,3162.500975,1.300094697,8.626421512,14.24017289,9.458740755,15443.03362,739.4687137,7.487974672,503.2108944,857.2152425,28.71467943,12.78467329,35.57300783,176.6998368,BL,23.57918275,48.1088549
