Sample ID ,Area Code,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 20 0-10,4,7.11,18.70846328,2.041592696,2.937356379,NM,6.899310069,10.12207818,,0.191363333,7835.235028,4.285919692,91.01704337,3308.429598,1.896714954,7.7672881,17.18463362,8.335085288,11252.60453,929.2242383,12.23724671,576.0479912,685.0208985,29.63284421,14.83793114,12.86539298,204.9640563,BL,45.85839163,42.84826187
LF 20 10-20,4,6.72,22.66674165,1.148615463,4.136966225,NM,8.288342332,11.185003,,0.180833516,12163.41782,4.232682942,116.1842414,3224.119937,2.350422134,9.292092465,23.97962014,10.61355225,14822.48707,1298.568681,19.50189693,778.4205629,833.4915542,46.81747669,19.14333167,14.78895574,172.5631481,BL,42.88690669,56.69528778
LF 20 20-30,4,6.93,21.68972938,1.732735987,3.647082334,NM,5.929209439,9.748235765,,0.176259195,7011.895342,3.975384395,99.17866601,3271.857528,2.01537393,8.278840975,14.97730667,8.899754048,12659.06316,723.2122253,9.865276445,504.0602115,781.4363073,26.52896043,14.92512738,13.64899437,179.6303061,BL,37.03374139,44.09150468
LF 21 0-10,4,6.47,18.19331998,3.163415407,4.879186802,NM,6.93,12.51156948,,0.146917959,9570.645549,3.922160775,104.7455682,4251.209378,2.02755067,8.108856707,18.00443873,9.151881036,12399.54275,1106.460999,14.27050689,674.9228834,765.0584492,32.51121537,14.93872994,13.53529587,290.6221533,BL,32.38189858,49.66572491
LF 21 10-20,4,6.2,18.82780111,2.298152782,4.147787846,NM,5.65981134,14.37228647,,0.181307783,11478.83213,4.227932195,120.358408,2916.637863,2.326215009,9.04823979,22.0563242,10.54684417,13882.52371,1328.443673,17.65359271,786.9759865,844.4407392,39.26661679,17.30895295,16.1748237,228.8021569,BL,30.89360644,60.83873041
LF 21 20-30,4,6.11,17.87094611,1.834847602,4.348840309,NM,9.178776163,12.66840352,,0.208346234,11478.22999,3.919584266,122.4252761,2673.303392,2.394284057,9.572506313,20.83380032,10.42646866,14887.1323,1235.261673,17.17472602,759.6962176,888.5817703,35.83647827,17.35981978,17.65273915,177.9585501,BL,43.51956718,59.64042135
LF 30 0-10,4,NM,34.75438833,2.619250787,2.219556089,NM,8.878224355,6.504848808,,0.199175274,7148.511881,4.808281008,106.4888409,4048.127705,2.057906294,8.681326399,14.31234115,9.363994292,12725.889,777.0796275,9.873111203,563.5241229,838.5769076,25.09281772,14.69874731,13.59475888,251.2905925,BL,39.54900201,43.5380203
LF 30 10-20,4,NM,34.26671297,2.349423601,3.237841439,NM,10.15932271,8.368588376,,0.178937777,8832.349399,4.647880635,118.3004811,4022.161111,2.426760481,9.458329668,16.47608719,10.45123483,14938.90023,930.7342606,12.76381889,652.5530288,894.6193175,30.12569412,16.86332532,15.15876139,251.3487499,BL,42.18450431,55.03150011
LF 30 20-30,4,NM,32.21218281,2.470524873,3.059082275,NM,9.809346044,13.36375271,,0.211197904,10268.35526,5.729962381,129.9868168,3561.728927,2.693517652,10.57303731,18.49824635,11.16669131,17464.02988,1035.670576,14.64750382,708.2984246,1012.462422,32.1129647,18.74271023,16.97827855,209.8580241,BL,42.03947152,61.47963793
LF 31 0-10,4,NM,36.79578813,2.327331121,3.079178886,37.68492603,10.35861885,11.01753697,,0.179449093,8665.862726,4.276682378,101.6962476,3892.448396,2.008949487,8.385073651,16.35556155,9.11402801,12984.36809,1010.024051,12.68059153,615.8676495,788.962832,27.10541187,14.98261732,13.39255299,240.9203882,BL,62.0942998,44.41421355
LF 31 10-20,4,NM,33.12317351,2.210997273,3.709258148,NM,11.56,10.63988018,,0.203851052,9192.476644,4.232399709,111.92193,3598.541036,2.252220368,9.267058573,17.3285718,10.33365657,14579.5562,1014.957445,13.29560723,628.9364659,849.229107,27.71809486,16.82741657,14.70870067,222.2890463,BL,50.36620352,51.79819298
LF 31 20-30,4,NM,29.82179327,1.835521874,4.427786107,NM,10.79856019,14.53166928,,0.189557196,10439.09481,4.700915731,117.7966981,3109.015422,2.403112642,9.653238757,19.75401743,10.46376273,15594.74353,1135.052054,15.67232188,693.5543361,871.9250895,31.6172157,18.11827753,15.3388245,167.7483585,BL,46.45034886,55.50994995
LF 32 0-10,4,NM,35.22553533,2.194484344,2.479008397,NM,5.689051825,7.834980178,,0.185787783,6347.01706,4.140784434,94.39350287,2845.452968,2.035117425,8.368565593,16.2654661,9.232040554,11620.10344,838.1248915,11.99645889,578.9491404,811.7743863,58.04672549,12.55804222,33.66091579,160.5370915,BL,51.47133121,45.87876187
LF 32 10-20,4,NM,32.57913332,2.067363668,2.279164306,NM,3.749750017,10.64838613,,0.203261892,7156.343885,4.347467904,106.4944115,2910.690827,2.311495538,9.168636619,18.02118423,10.89338788,13254.53974,907.9357131,13.86096823,631.9930393,920.8902498,61.69825975,14.2109162,37.69799553,155.7219754,BL,43.47316458,54.22213807
LF 32 20-30,4,NM,32.03000058,1.782450159,2.698830507,NM,5.579442056,10.75674163,,0.215442312,6648.238143,5.338026527,105.1245659,3389.847781,2.249840964,8.832919896,16.2894804,10.27622221,11903.70328,815.6413905,13.16250448,621.9201702,950.4447882,59.56630713,12.93169646,35.9579129,206.3400089,BL,56.69431604,54.2604089
LF 33 0-10,4,NM,34.91193015,2.565370623,2.85847548,NM,6.579122784,13.39991346,,0.189019642,7432.23722,5.242705756,120.051768,2988.473904,2.483687888,9.779608716,18.08773404,10.64594874,14175.87025,888.2194889,14.28910814,652.4964516,999.520925,62.41413475,14.37984189,40.52766692,145.9248898,BL,53.63561808,55.68279143
LF 33 10-20,4,NM,28.90000896,2.135405578,1.928842694,NM,2.279468124,15.20813717,,BL,5330.38252,4.73891251,109.8611559,2524.329842,1.995975795,8.596543115,13.03562819,8.912548668,11476.10093,661.126534,8.449556362,473.2632845,693.4396639,55.46083717,11.57246607,33.28552799,BL,BL,64.6602282,37.32441742
LF 33 20-30,4,NM,29.33429151,1.860709831,2.348825587,NM,2.499916669,9.480439707,,0.167764002,6287.510523,4.241155807,105.5154813,4476.499198,2.234448528,8.625847825,15.35686693,10.59422135,12428.74222,833.7017408,12.16482837,635.0222818,941.6938927,60.5948931,12.55268841,35.99194686,253.7845095,BL,51.89851548,51.78599084
LF 34 0-10,4,NM,39.27950092,3.626447313,2.7986007,NM,10.13831028,16.26753221,,0.210013181,8100.64266,6.200790399,124.6620567,4535.301613,2.726930403,9.920205931,19.00305993,BL,14491.2448,1000.41877,16.40447091,730.8264226,1164.376723,70.06478311,15.63182983,41.33910681,237.4769412,BL,64.92183687,65.68832016
LF 34 10-20,4,NM,38.07635257,2.800662674,3.258479376,NM,7.719485368,14.10288856,,0.269030469,7427.92695,5.306905344,130.3607995,4234.275278,2.959764919,10.06565036,18.12968825,BL,15177.89414,901.5683211,14.57083632,677.1939557,1284.528884,68.08243629,15.62987519,42.93807939,208.6544018,BL,63.3437826,72.21340773
LF 34 20-30,4,NM,35.42139831,2.706202073,2.928535732,NM,6.899540031,17.13206717,,0.19970151,5861.517867,4.486962947,102.6808596,3470.327986,2.239892417,8.754939904,14.98179154,10.55300344,12667.3497,863.8471848,10.69967263,590.9836205,921.6219971,57.14141581,12.69261656,35.6586116,224.8624002,BL,62.26155254,56.10948183
LF 35 0-10,4,NM,38.08164357,2.787756734,3.559169527,NM,9.797387363,16.06273439,,0.17669944,5971.560786,4.691659972,103.6181188,2723.694116,2.40304797,9.049995666,16.0646199,10.63288342,13358.15556,761.9174285,10.52821637,569.2566755,786.6546766,59.05883558,13.29507625,39.463018,139.2640639,BL,58.2440429,55.47653892
LF 35 10-20,4,NM,28.57644916,1.801179547,3.568215892,NM,8.839410706,20.33015197,,0.160692946,5319.065757,4.002783739,90.97816389,2273.277441,2.16116934,8.433148575,15.24881279,10.63890698,12601.55555,635.7511073,8.56799279,486.1026239,523.8833925,57.28563512,11.44506428,39.12410113,BL,BL,108.3025759,44.61017123
LF 35 20-30,4,NM,31.84635724,1.245396461,2.829245535,NM,18.02759632,26.32216346,,0.175732157,5452.768336,5.000056996,106.5394698,3553.424303,2.129157521,8.743291327,14.35803561,10.38867612,12491.42444,789.522772,9.516984583,559.1467005,929.2440182,55.42939626,12.35850602,36.13145359,220.5272382,BL,61.91272273,48.12187633
LF 36 0-10,4,NM,34.93857443,2.239875993,1.999533442,30.08796481,6.068988502,9.432240128,,0.208953309,6470.20723,4.484074046,115.9435004,3133.75593,2.442941365,9.673791945,16.59057291,10.73945382,12928.32534,798.7724587,11.79008385,618.4250363,934.3833693,57.28561575,13.9105335,40.25080384,184.278695,BL,57.85938448,54.25803155
LF 36 10-20,4,NM,31.5376214,2.312244046,2.068965517,NM,4.189301783,11.54733944,,0.168369002,5316.358335,4.777738186,101.1605304,2431.786052,2.185048349,8.819986593,14.59497909,9.649300321,12538.84214,660.2793563,8.744263384,511.8010654,755.5118457,54.85701991,13.74381595,37.72418873,122.8461793,BL,72.98357095,45.29019042
LF 36 20-30,4,NM,28.25078509,1.361873253,2.869043652,NM,8.148641893,3.275102408,,0.167472408,6659.136469,4.127067961,97.54798697,3180.056244,2.089792533,8.052047517,16.95472115,9.123633688,11445.11304,848.9763077,12.79433125,632.3328948,858.231548,62.49740299,12.18278197,34.10657016,220.7044786,BL,62.3805066,51.33013143
LF 37 0-10,4,NM,39.08089118,2.79938776,2.228662802,NM,3.66975535,0.684685063,,0.220473335,5924.647018,4.803542777,116.1899816,2662.260901,2.529731336,9.754210133,16.59977374,11.02494797,13697.45155,670.6199363,9.192937337,565.6128646,1191.230383,56.22027347,12.74741592,44.9795499,136.0923712,BL,52.74693761,54.36359971
LF 37 10-20,4,NM,29.27993787,1.779248253,2.798321007,NM,3.659756016,4.0001233,,0.185281988,6161.637622,5.157604052,114.4413308,2552.353049,2.403742123,9.226743321,15.83813129,10.10637786,13570.72245,692.6134664,9.900865772,565.9224798,1001.798715,56.8503155,13.51274065,42.1813553,125.2606857,BL,60.12170395,46.07131372
LF 37 20-30,4,NM,29.08654302,1.436724392,1.809336577,NM,6.189587361,0.960961776,,0.16316593,4280.049651,4.451347023,90.14504063,3284.511904,1.857663982,7.395852925,12.07116372,9.253516907,10088.37098,689.9681778,6.933424138,485.3343188,770.0126297,BL,10.49772426,30.08869974,221.4233635,BL,64.31122281,42.38898322
LF 38 0-10,4,NM,37.98535649,5.44749309,3.387741506,34.8,6.898850192,4.508846724,,0.176423634,6751.443654,4.283059597,100.4728808,2842.140391,2.108430086,7.823322693,17.07285361,10.95286811,11324.89227,859.5770844,12.90207343,635.8768561,769.1949194,60.24072051,12.52380645,34.90548625,175.1926706,BL,48.81634375,52.13972801
LF 38 10-20,4,NM,31.3760927,1.408551566,2.259021091,27.49862507,2.569486103,8.097219429,,0.146753659,5371.554603,4.223801436,83.93546063,2088.110489,1.948901669,7.973433733,11.56639069,8.701314434,12104.19638,693.4237432,6.569243266,504.1838601,628.1701088,55.54298888,10.15391398,34.46279619,BL,BL,59.78674271,34.74376512
LF 38 20-30,4,NM,22.45322245,1.024898215,1.599520144,32.09197701,6.469353065,1.838413671,,0.167108123,5392.407372,4.351400461,89.60073977,2437.899033,2.061468272,7.749085592,15.5237721,8.76037599,11298.21343,681.358618,9.991056561,505.4215962,758.0304609,57.09372702,13.43519062,33.33250744,111.8727851,BL,44.68862241,47.59902587
LF 39 0-10,4,NM,30.47232616,1.307460753,1.848705906,NM,NM,4.763767402,,BL,3619.814888,BL,75.4662381,3071.139972,0.857290671,6.137436997,10.4236682,6.367810261,9760.117666,611.8109635,5.133524962,367.824128,653.9557195,15.50320984,8.787729224,23.32412668,193.9083087,BL,30.9795391,33.42322849
