DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
20,1,279.8,12.4,13.9,73.7,,31.3,2.8,3,,9.5,8.8,303.8,0.2,7712.6,4.6,118.9,4014.4,2.4,9.5,17.2,10.8,12976.9,915.4,13.3,641,930.3,30.7,17.3,15.3,224.6,,28,53.6,341.4,193.7
10,1,280,33.8,11.3,55,,30.3,2.9,4.6,,5.5,8.2,356.6,0.2,9216.5,5.1,125,4238.4,2.5,9.9,17.2,11.7,14264.7,937.5,13.5,675.5,991.4,31.2,17.8,15.5,290.8,,32.6,59,291.8,163.8
20,1,280,25,11.3,63.7,,29.7,2.4,5,,16,13,424.5,0.2,9181.7,5.8,134.4,3536.1,2.9,10.4,19.8,12.5,14347.3,1015,15.9,725.5,1318.8,36,19.2,18,203.9,,29.6,70.5,346,196.5
10,1,280.3,12.3,12.7,75,6.6,38.4,3.3,3.5,48.6,8.4,16.3,369.4,0.2,7124,5,121.3,3865.3,2.6,9.5,16.8,11.2,14541.7,1032.7,11.9,651.3,984.4,28.6,16.6,25.2,280.1,,28.8,59.8,349.4,198.5
20,1,280.3,12.3,18.6,69.1,6.3,29.3,2.3,3.4,,9.8,10.9,374.9,0.3,10652.4,5.7,135.9,3526,2.9,11.2,22.8,12.8,15405.7,1327.1,19.5,848.5,1156.5,40.7,21.2,18.7,219.6,,31.2,71.9,342,194
10,1,280.1,11.1,16.1,72.8,,39.9,3,4,,12.9,13.5,384,0.2,9413.9,5.3,123.6,4411.3,2.6,9.7,20.2,12,13511.9,1321.7,17.2,800.9,914.2,36.6,18.9,75,303.6,,28.6,64.6,351.6,199.9
20,1,280.1,2.4,18.6,79.1,,34.4,1.6,7.3,,21.9,76.4,549,0.2,8060.1,3.9,90,2222.8,2.1,8.5,16.7,10,12298.7,795.9,11,564.1,585.6,25,12.9,16.5,126,,26.3,45.9,324,183.1
10,1,279.6,19.8,16.1,64.1,,32.8,3,2.6,43.3,8.2,9.4,212.2,0.3,8238.5,4.8,132.8,4976.8,2.7,9.7,17.4,11.1,13545.8,997,14.6,690.5,1231,37.3,18.1,15.5,283.1,,27.8,64,336,190.4
20,1,279.6,4.9,23.6,71.6,,29.7,2.2,2.2,,6.3,6.9,128.5,0.1,5184.7,4.2,98.2,2619.8,2.1,7.7,12.3,7.9,11817.5,646.7,6.8,444.3,442.7,27.9,11.2,22.5,94.8,,25.9,33.2,305.1,171.8
10,3,278.8,12.3,16.1,71.6,,33.2,2.7,2,,,13,138.5,,4051.6,,86.8,3590.2,,6.8,11,7.6,11049.3,708.2,5.9,429.2,761.4,20,9.6,26.5,261.5,,24.1,38.3,305.8,172.2
20,3,278.8,11.1,16.1,72.8,,31.1,2.5,2.7,,14.8,9.7,197.4,0.2,6906.5,5,108.2,3639.1,2.4,8.8,15.6,9.4,11876.2,898.5,11.7,575.8,902.3,28.2,15.8,13.9,210.9,,31.4,57.7,344.2,195.4
30,3,278.8,11.1,18.6,70.3,,28.1,2.2,2.8,,18.4,11.5,193.1,0.2,6010.3,4.4,99.2,2917.8,2.3,8.2,14.4,8.9,12535.1,784.1,9,501,845.7,25,13.5,22.2,162.9,,29.9,50.1,292,163.9
10,3,278.4,10.2,18.6,71.2,,37,3.4,4.6,41.7,10.6,19.8,238.9,0.2,8454.8,5.1,127.2,4260.9,2.4,9.4,18,11.8,13343.3,1013.1,14.9,713.4,877.5,34.9,17.8,16.1,266.1,,29.2,53.4,325.6,184.1
20,3,278.4,5.2,19.8,75,,31.6,2.7,2.3,,,15.3,252.4,,6382.7,,123.6,3692.3,,8.9,16,10.6,16421.4,892.5,9.9,607.6,931.8,29,14.3,37.9,268.8,,29.2,55.3,113.6,61.7
30,3,278.4,7.7,18.6,73.7,,26.1,2.6,2.7,,,9,247.3,,5565.2,4.8,110.9,3064.9,,8.1,14.1,9.3,14645,829.5,8.5,525.5,851.1,25.9,12.6,34.1,200.3,,31.8,50,286.4,160.6
10,3,279.1,,,,,32.9,2.9,3.5,,12.6,11.6,208.4,0.2,8373.6,4.8,112.8,3860.5,2.3,8.8,15.7,10.1,12956.1,972,11.9,611.6,860.1,26.6,15.8,14.6,253.5,,31,50.5,221,122.4
20,3,279.1,9,19.8,71.2,,25.5,2.5,2.7,,10.5,13.8,198.6,0.2,6666.8,5.6,112.6,3158.8,2.7,9.2,15.3,10,13981.2,860.2,9.9,544.1,1007.8,26.4,14.6,24.7,196.9,,50.3,60.4,65,35
30,3,279.1,5.2,21.1,73.7,,25.2,2,2,,,10.2,182.9,,5091,,104.7,2760.5,,8.9,14.1,9.3,15120.8,750.5,6.7,480.7,1010.6,22.2,12.3,35.9,169.1,,36.6,53.4,195.8,107.9
10,3,279,10.2,18.6,71.2,,32.7,3,2.7,44.8,10.3,19,225,0.2,7318.6,5.5,120.3,4014.2,2.4,8.9,15.8,10.6,14054.9,919.7,11.4,605.6,880.3,28.4,14.8,25,292.4,,43.3,55,269.7,150.8
20,3,279,5.2,19.8,75,,28.2,2.3,2.6,,12.8,10.7,198,0.2,6790.2,4.4,111.1,2927.8,2.5,8.6,15.2,9.8,13750.1,783.9,9.8,534.7,812,27.3,14.1,24.4,164.2,,150.6,49.3,282.4,158.3
30,3,279,7.7,21.1,71.2,,26.7,1.9,3,,14.8,17.3,238.3,0.2,4855.6,3.4,86.9,2140,1.9,7,12.3,8.4,11344.8,573.4,6.3,393.7,519,22.5,10.9,23.5,127.5,,40.4,38.2,244.2,135.8
10,3,279.1,9.9,12.7,77.4,6.6,29.9,2.5,4.7,,7.7,11.8,245.3,0.2,6047,4.5,106.2,3713.8,2,8.1,13.9,9.5,11056.8,742,9.5,536.6,784.8,24.4,14.7,14.1,252,,31.5,45.6,271.2,151.6
20,3,279.1,7.3,17.7,75,6.2,27,1.9,3.5,,13.7,13.6,185.3,0.2,6129.9,4.3,109.1,2577.3,2.2,8.8,14.5,9.5,12210,660.2,8.7,499.2,809.8,23.2,15,15.8,127.9,,28.1,46.3,289.2,162.3
30,3,279.1,11.1,15.2,73.7,6.4,26.3,1.8,3.3,,9.9,11.1,223.5,0.1,5058.6,3.4,85.9,1959.9,1.8,7.2,12.9,7.8,9677.9,537.6,7.2,403.5,484.4,20.4,12.4,14.1,92.6,,21.5,35.6,293.6,164.9
10,3,279.4,21.3,7.5,71.2,,34.2,2.8,3,53.6,12.3,11.4,224.6,0.2,6151.5,4.9,108.8,3481.3,2.3,8.3,13.8,9.8,13170.1,855,9.1,539.3,948.9,23.4,13.6,22.2,248.9,,43.5,54.6,290.2,162.9
20,3,279.4,21.3,15,63.7,6.4,28.2,2.2,4.7,,10.8,9.3,208.3,0.2,6717.6,4.7,115.5,2882.6,2.5,9.6,15.7,10.3,13193.5,804.3,9.7,565.5,944.5,24.2,16.1,16.5,140.1,,29.6,51.4,180.4,99.2
