DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
30,4,278.7,0,22.7,77.3,,29.3,1.9,2.3,,2.5,9.5,179,0.2,6287.5,4.2,105.5,4476.5,2.2,8.6,15.4,10.6,12428.7,833.7,12.2,635,941.7,60.6,12.6,36,253.8,,51.9,51.8,239.8,133.3
10,4,278.6,12.4,14.8,72.8,,39.3,3.6,2.8,,10.1,16.3,236.1,0.2,8100.6,6.2,124.7,4535.3,2.7,9.9,19,,14491.2,1000.4,16.4,730.8,1164.4,70.1,15.6,41.3,237.5,,64.9,65.7,168.6,92.5
20,4,278.6,14.9,14.8,70.3,,38.1,2.8,3.3,,7.7,14.1,237.9,0.3,7427.9,5.3,130.4,4234.3,3,10.1,18.1,,15177.9,901.6,14.6,677.2,1284.5,68.1,15.6,42.9,208.7,,63.3,72.2,216,119.5
30,4,278.6,16.2,13.6,70.2,,35.4,2.7,2.9,,6.9,17.1,285.3,0.2,5861.5,4.5,102.7,3470.3,2.2,8.8,15,10.6,12667.3,863.8,10.7,591,921.6,57.1,12.7,35.7,224.9,,62.3,56.1,171.4,94.1
10,4,279.3,14.8,13.6,71.6,,38.1,2.8,3.6,,9.8,16.1,250.4,0.2,5971.6,4.7,103.6,2723.7,2.4,9,16.1,10.6,13358.2,761.9,10.5,569.3,786.7,59.1,13.3,39.5,139.3,,58.2,55.5,197.8,109.1
20,4,279.3,1.1,23.6,75.3,,28.6,1.8,3.6,,8.8,20.3,289.3,0.2,5319.1,4,91,2273.3,2.2,8.4,15.2,10.6,12601.6,635.8,8.6,486.1,523.9,57.3,11.4,39.1,,,108.3,44.6,184,101.2
30,4,279.3,0,21.1,78.9,,31.8,1.2,2.8,,18,26.3,333.6,0.2,5452.8,5,106.5,3553.4,2.1,8.7,14.4,10.4,12491.4,789.5,9.5,559.1,929.2,55.4,12.4,36.1,220.5,,61.9,48.1,203.8,112.5
10,4,279.8,11.1,13.6,75.3,,34.9,2.2,2,30.1,6.1,9.4,169.4,0.2,6470.2,4.5,115.9,3133.8,2.4,9.7,16.6,10.7,12928.3,798.8,11.8,618.4,934.4,57.3,13.9,40.3,184.3,,57.9,54.3,138.9,75.9
20,4,279.8,11.1,13.6,75.3,,31.5,2.3,2.1,,4.2,11.5,159.9,0.2,5316.4,4.8,101.2,2431.8,2.2,8.8,14.6,9.6,12538.8,660.3,8.7,511.8,755.5,54.9,13.7,37.7,122.8,,73,45.3,229.4,127.2
30,4,279.8,4.9,16.1,79,,28.3,1.4,2.9,,8.1,3.3,164.1,0.2,6659.1,4.1,97.5,3180.1,2.1,8.1,17,9.1,11445.1,849,12.8,632.3,858.2,62.5,12.2,34.1,220.7,,62.4,51.3,228.2,126.5
10,4,280.7,12.4,13.6,74,,39.1,2.8,2.2,,3.7,0.7,143.6,0.2,5924.6,4.8,116.2,2662.3,2.5,9.8,16.6,11,13697.5,670.6,9.2,565.6,1191.2,56.2,12.7,45,136.1,,52.7,54.4,191.4,105.4
20,4,280.7,2.3,18.6,79.1,,29.3,1.8,2.8,,3.7,4,175.1,0.2,6161.6,5.2,114.4,2552.4,2.4,9.2,15.8,10.1,13570.7,692.6,9.9,565.9,1001.8,56.9,13.5,42.2,125.3,,60.1,46.1,216,119.5
30,4,280.7,3.6,22.4,74.1,,29.1,1.4,1.8,,6.2,1,234,0.2,4280,4.5,90.1,3284.5,1.9,7.4,12.1,9.3,10088.4,690,6.9,485.3,770,,10.5,30.1,221.4,,64.3,42.4,235.4,130.7
10,4,280.6,42.5,6.3,51.2,,38,5.4,3.4,34.8,6.9,4.5,178.5,0.2,6751.4,4.3,100.5,2842.1,2.1,7.8,17.1,11,11324.9,859.6,12.9,635.9,769.2,60.2,12.5,34.9,175.2,,48.8,52.1,166.8,91.5
20,4,280.6,32.5,10,57.5,,31.4,1.4,2.3,27.5,2.6,8.1,148.5,0.1,5371.6,4.2,83.9,2088.1,1.9,8,11.6,8.7,12104.2,693.4,6.6,504.2,628.2,55.5,10.2,34.5,,,59.8,34.7,182.4,100.3
30,4,280.6,30,11.3,58.7,,22.5,1,1.6,32.1,6.5,1.8,99.9,0.2,5392.4,4.4,89.6,2437.9,2.1,7.7,15.5,8.8,11298.2,681.4,10,505.4,758,57.1,13.4,33.3,111.9,,44.7,47.6,160.2,87.7
10,4,279.1,12.4,14.8,72.8,,30.5,1.3,1.8,,,4.8,114,,3619.8,,75.5,3071.1,0.9,6.1,10.4,6.4,9760.1,611.8,5.1,367.8,654,15.5,8.8,23.3,193.9,,31,33.4,121,65.8
20,4,279.1,32.4,16.1,51.6,,28.4,1.9,1.9,,,4,109.7,,2810.7,,65.3,2414.5,,5.8,9.6,5.5,8636.7,487.4,3.5,287.2,577.9,14.4,7.9,20.4,153.6,,22.8,28,99.6,54
30,4,279.1,27.3,13.6,59.1,,27.2,2.1,1.9,,,4.1,143.7,,3369.3,,75.5,2785.2,,6.4,10.6,6.5,9821.1,539.2,4.5,327.1,652.5,17.4,8.9,23.2,180.5,,27,33.3,107.9,58.6
10,4,279.1,11.1,13.6,75.3,,,,2.8,,,7.7,193.7,,4175.2,,95.5,4016.6,,7.4,11.3,8.2,11884.8,690.7,5.9,447.5,813.8,20.6,10.2,28.3,807.4,,34.1,41.3,151.2,82.7
20,4,279.1,11.1,12.3,76.5,,,,2.8,,,6.9,197.1,,3932.1,,100.9,3846.4,1.1,7.8,11.3,8.7,12207.1,636.1,5.2,421.4,865.1,20.4,10.5,28.5,278.5,,38,43.1,162.6,89.1
30,4,279.1,9.8,13.6,76.6,,,,2.3,,,7.3,227.7,,4398.9,,106.9,3709.3,,8.2,12.4,9.2,13548.1,670.6,6,448.2,933.5,22,11.6,32.2,296.7,,21.5,47.9,262.6,146.6
10,4,279.4,22.5,7.5,70,,,,2.5,,,4.4,175.5,,3679.7,,86.8,3128.2,1,6.8,10.4,7.4,10928.3,598.6,5,391.6,761.6,27.8,9,26,250.1,,31.8,37.2,161.2,88.3
20,4,279.4,16.1,16.1,67.8,,,,1.9,,,9.1,177.9,,3545.2,,92.9,3236.2,1,7.2,10.4,7.7,11188.6,571.7,4.5,373.7,821.4,19.6,9.9,27.2,234,,33.9,39.5,259,144.5
30,4,279.4,14.9,14.8,70.3,,,,2.4,,,9.9,193.4,,4112.4,,105.9,3475.2,1.1,8.1,12,8.9,13010.7,640.5,5.6,418.2,936.1,23.1,11.6,30.4,282.5,,34.1,46.8,223.2,123.7
10,4,279.6,22.4,11.1,66.5,,,,2.8,,,9.3,187.2,,3578.4,,81.8,3099.9,1,6.9,10.9,7.3,10482,722.1,4.9,396.9,725.6,17.5,9.2,24.1,238.6,,29.1,38.4,110.8,60.2
20,4,279.6,17.4,12.3,70.3,,,,3,,,3.6,190.7,,3754.2,,90.3,3230,1.1,7.3,11.6,8.1,11567.8,713.4,4.9,409.2,801.9,15.6,10.4,27,264.4,,21.8,42,175.4,96.3
30,4,279.6,12.4,12.3,75.3,,,,2.4,,,8.2,238.4,,3876.1,,97.1,3189.1,1.2,7.7,11.8,8.6,12277.6,703.5,5.1,408.7,902,16.1,11.2,28.4,272.8,,23.6,49.3,118.2,64.3
5,4,279.6,11.1,11.1,77.8,,36.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,173,95
10,4,279.6,13.6,11.1,75.3,,30.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,134,73
20,4,279.6,7.3,16.1,76.6,,28,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4,144.7
30,4,279.6,23.6,11.1,65.3,,25.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,55.4
5,4,279.5,19.9,9.8,70.3,,49.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,140,76.4
10,4,279.5,14.8,11.1,74.1,,80.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4,86.7
20,4,279.5,13.7,11.1,75.2,,31.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4,73.3
30,4,279.5,14.8,11.1,74.1,,28.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,212.2,117.3
5,3,279.5,9.9,12.3,77.8,,37.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4,96.9
10,3,279.5,12.3,11.1,76.6,,31.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,188.6,103.8
20,3,279.5,13.6,8.6,77.8,,30.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2,158.1
30,3,279.5,6.1,18.6,75.3,,29,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4,142.4
5,2,279.7,13.6,19.8,66.6,,36.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,363.2,207
10,2,279.7,21.1,17.3,61.6,,33.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,334.8,189.6
20,2,279.7,21.1,17.3,61.6,,28.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,119,64.7
30,2,279.7,24.9,16.1,59.1,,28.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4,85
