Sample ID ,Area Code,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 11 0-10,3,NM,33.19104308,2.686725702,2.049316894,NM,NM,13.0480927,,BL,4051.629549,BL,86.77136669,3590.159166,BL,6.801871967,11.01029275,7.587043234,11049.26411,708.1984136,5.918167671,429.1643636,761.3841567,19.98165877,9.589296243,26.49080368,261.52211,BL,24.14324322,38.26064028
LF 11 10-20,3,NM,31.14850574,2.526465545,2.699190243,NM,14.78802826,9.655988273,,0.196465129,6906.466398,5.002446047,108.2215021,3639.06396,2.387751883,8.825180869,15.58814265,9.433189819,11876.15414,898.4746145,11.72818071,575.8187365,902.282213,28.1756154,15.80138044,13.88019489,210.8947308,BL,31.36293229,57.68936186
LF 11 20-30,3,NM,28.1128431,2.154387001,2.828679949,NM,18.41815818,11.5479087,,0.177281216,6010.251205,4.445643796,99.23350951,2917.840543,2.290121205,8.229637871,14.35995342,8.897413446,12535.1077,784.0721057,8.996558651,500.9832801,845.6874934,25.00080428,13.54465654,22.19682552,162.8715886,BL,29.92424702,50.07711883
LF 12 0-10,3,NM,37.01951406,3.414065866,4.638917586,41.69583042,10.63893611,19.77220512,,0.198139535,8454.821214,5.100922103,127.2033413,4260.865458,2.437340279,9.379351318,18.03538133,11.77616768,13343.28029,1013.108009,14.8771634,713.3786893,877.5300647,34.87846361,17.79488514,16.13829201,266.0720714,BL,29.23861419,53.35869162
LF 12 10-20,3,NM,31.63685446,2.744275476,2.339688042,NM,NM,15.32928814,,BL,6382.691917,BL,123.6190254,3692.253765,BL,8.943465046,15.99039026,10.57849745,16421.37761,892.4601851,9.865961925,607.6392737,931.7996112,28.97666678,14.26648533,37.89258134,268.7727158,BL,29.24950545,55.31870735
LF 12 20-30,3,NM,26.05061801,2.639355272,2.699730027,NM,NM,8.953867689,,BL,5565.181281,4.790190583,110.9266911,3064.878889,BL,8.099184739,14.14218067,9.296007511,14644.9756,829.5235283,8.520949902,525.4756769,851.0980096,25.92907837,12.57667582,34.06729478,200.2641804,BL,31.84338128,49.99690328
LF 13 0-10,3,NM,32.94958417,2.920556791,3.509415097,NM,12.58874113,11.60965108,,0.21042017,8373.64102,4.780835666,112.8018739,3860.544613,2.297247724,8.84028881,15.73640092,10.08391164,12956.12426,972.0426289,11.8988491,611.5850548,860.0545964,26.61251249,15.83231431,14.60728487,253.5202354,BL,30.99069478,50.53457298
LF 13 10-20,3,NM,25.54579168,2.496373892,2.669021359,NM,10.4789521,13.78972103,,0.22916788,6666.791719,5.573006646,112.5830971,3158.830145,2.70344404,9.150632198,15.33911982,10.03649385,13981.15639,860.217489,9.854125396,544.0544992,1007.837924,26.42102071,14.6267541,24.65820701,196.8629213,BL,50.25511032,60.42976561
LF 13 20-30,3,NM,25.24756213,2.046667026,2.039456145,NM,NM,10.17656234,,BL,5090.995519,BL,104.7214279,2760.541116,BL,8.93079746,14.12645059,9.262076575,15120.81975,750.4657486,6.659928979,480.7447187,1010.62511,22.2023485,12.2670773,35.86633787,169.118321,BL,36.62129971,53.41238666
LF 14 0-10,3,NM,32.68644385,3.034287003,2.668487857,44.77761119,10.30828195,19.04370773,,0.174039344,7318.63851,5.453382491,120.2555257,4014.156938,2.438309841,8.920597158,15.82587784,10.57862442,14054.94682,919.7320413,11.36625109,605.6410376,880.3171452,28.39338844,14.84211007,25.02679286,292.4474342,BL,43.29834221,55.02992775
LF 14 10-20,3,NM,28.15079947,2.271378884,2.578281146,NM,12.77957401,10.65016,,0.190009566,6790.195784,4.418491064,111.0801908,2927.76814,2.489084324,8.616006413,15.19005616,9.834888041,13750.13437,783.8632836,9.754186582,534.683125,811.9722026,27.26575919,14.10669152,24.36448004,164.2493884,BL,150.6097722,49.30219923
